Company Name,Company Ticker
AB InBev,Euronext Brussels: ABI.BR
Ackermans & van Haaren,Euronext Brussels: ACKB.BR
Aedifica,Euronext Brussels: AED.BR
Ageas,Euronext Brussels: AGS.BR
arGEN-X [nl],Euronext Brussels: ARGX.BR
Azelis Group,Euronext Brussels: AZE.BR
Cofinimmo,Euronext Brussels: COFB.BR
D'Ieteren,Euronext Brussels: DIE.BR
Elia Group,Euronext Brussels: ELI.BR
Galapagos,Euronext Brussels: GLPG.BR
GBL,Euronext Brussels: GBLB.BR
KBC,Euronext Brussels: KBC.BR
Lotus Bakeries,Euronext Brussels: LOTB.BR
Melexis [nl],Euronext Brussels: MELE.BR
Sofina,Euronext Brussels: SOF.BR
Solvay,Euronext Brussels: SOLB.BR
Syensqo,Euronext Brussels: SYENS.BR
UCB,Euronext Brussels: UCB.BR
Umicore,Euronext Brussels: UMI.BR
WDP [nl],Euronext Brussels: WDP.BR
