Company Name,Company Ticker
Accor,AC.PA.PA
Air Liquide,AI.PA.PA
Airbus,AIR.PA.PA
ArcelorMittal,MT.AS.PA
Axa,CS.PA.PA
BNP Paribas,BNP.PA.PA
Bouygues,EN.PA.PA
Bureau Veritas,BVI.PA.PA
Capgemini,CAP.PA.PA
Carrefour,CA.PA.PA
Crédit Agricole,ACA.PA.PA
Danone,BN.PA.PA
Dassault Systèmes,DSY.PA.PA
Edenred,EDEN.PA.PA
Engie,ENGI.PA.PA
EssilorLuxottica,EL.PA.PA
Eurofins Scientific,ERF.PA.PA
Hermès,RMS.PA.PA
Kering,KER.PA.PA
L'Oréal,OR.PA.PA
Legrand,LR.PA.PA
LVMH,MC.PA.PA
Michelin,ML.PA.PA
Orange,ORA.PA.PA
Pernod Ricard,RI.PA.PA
Publicis,PUB.PA.PA
Renault,RNO.PA.PA
Safran,SAF.PA.PA
Saint-Gobain,SGO.PA.PA
Sanofi,SAN.PA.PA
Schneider Electric,SU.PA.PA
Société Générale,GLE.PA.PA
Stellantis,STLAP.PA.PA
STMicroelectronics,STMPA.PA.PA
Teleperformance,TEP.PA.PA
Thales,HO.PA.PA
TotalEnergies,TTE.PA.PA
Unibail-Rodamco-Westfield,URW.PA.PA
Veolia,VIE.PA.PA
Vinci,DG.PA.PA
