Company Name,Company Ticker
Adidas,ADS.DE.DE
Airbus,AIR.PA.DE
Allianz,ALV.DE.DE
BASF,BAS.DE.DE
Bayer,BAYN.DE.DE
Beiersdorf,BEI.DE.DE
BMW,BMW.DE.DE
Brenntag,BNR.DE.DE
Commerzbank,CBK.DE.DE
Continental,CON.DE.DE
Covestro,1COV.DE.DE
Daimler Truck,DTG.DE.DE
Deutsche Bank,DBK.DE.DE
Deutsche Börse,DB1.DE.DE
Deutsche Post,DHL.DE.DE
Deutsche Telekom,DTE.DE.DE
E.ON,EOAN.DE.DE
Fresenius,FRE.DE.DE
Fresenius Medical Care,FME.DE.DE
Hannover Re,HNR1.DE.DE
Heidelberg Materials,HEI.DE.DE
Henkel,HEN3.DE.DE
Infineon Technologies,IFX.DE.DE
Mercedes-Benz Group,MBG.DE.DE
Merck,MRK.DE.DE
MTU Aero Engines,MTX.DE.DE
Munich Re,MUV2.DE.DE
Porsche,P911.DE.DE
Porsche SE,PAH3.DE.DE
Qiagen,QIA.DE.DE
Rheinmetall,RHM.DE.DE
RWE,RWE.DE.DE
SAP,SAP.DE.DE
Sartorius,SRT3.DE.DE
Siemens,SIE.DE.DE
Siemens Energy,ENR.DE.DE
Siemens Healthineers,SHL.DE.DE
Symrise,SY1.DE.DE
Volkswagen Group,VOW3.DE.DE
Vonovia,VNA.DE.DE
Zalando,ZAL.DE.DE
