Company Name,Company Ticker
Aguas Andinas,AGUAS-A.SN
Embotelladora Andina [es],ANDINA-B.SN
Banco de Crédito e Inversiones,BCI.SN
Banco Santander Chile,BSANTANDER.SN
CAP,CAP.SN
Compañía Cervecerías Unidas,CCU.SN
Cencosud Shopping,CENCOSHOPP.SN
Cencosud,CENCOSUD.SN
Banco de Chile,CHILE.SN
Empresas CMPC,CMPC.SN
Colbún,COLBUN.SN
Viña Concha y Toro,CONCHATORO.SN
Empresas Copec,COPEC.SN
Engie Energía Chile,ECL.SN
Enel Américas,ENELAM.SN
Enel Chile [es],ENELCHILE.SN
Entel Chile,ENTEL.SN
S.A.C.I. Falabella,FALABELLA.SN
Inversiones Aguas Metropolitanas,IAM.SN
Itaú Corpbanca,ITAUCORP.SN
Mallplaza,MALLPLAZA.SN
Parque Arauco,PARAUCO.SN
Ripley,RIPLEY.SN
Grupo Security [es],SECURITY.SN
SMU [es],SMU.SN
Sonda,SONDA.SN
Sociedad Química y Minera de Chile,SQM-B.SN
Compañía Sudamericana de Vapores,VAPORES.SN
