Company Name,Company Ticker
99 SPEED MART RETAIL HOLDINGS BERHAD,5326.KL
AXIATA GROUP BERHAD,6888.KL
CELCOMDIGI BERHAD,6947.KL
CIMB GROUP HOLDINGS BERHAD,1023.KL
GAMUDA BERHAD,5398.KL
HONG LEONG BANK BHD,5819.KL
HONG LEONG FINANCIAL GROUP BHD,1082.KL
IHH HEALTHCARE BERHAD,5225.KL
IOI CORPORATION BHD,1961.KL
KUALA LUMPUR KEPONG BHD,2445.KL
Malayan Banking Berhad,1155.KL
MAXIS BERHAD,6012.KL
MISC BHD,3816.KL
MR D.I.Y. GROUP (M) BERHAD,5296.KL
NESTLE (M) BHD,4707.KL
PETRONAS CHEMICALS GROUP BHD,5183.KL
PETRONAS DAGANGAN BHD,5681.KL
PETRONAS GAS BHD,6033.KL
PPB GROUP BHD,4065.KL
PRESS METAL ALUMINIUM HOLDINGS BERHAD,8869.KL
PUBLIC BANK BHD,1295.KL
QL RESOURCES BHD,7084.KL
RHB BANK BERHAD,1066.KL
SIME DARBY BHD,4197.KL
SD GUTHRIE BERHAD,5285.KL
SUNWAY BERHAD,5211.KL
TELEKOM MALAYSIA BHD,4863.KL
TENAGA NASIONAL BHD,5347.KL
YTL CORPORATION BHD,4677.KL
YTL POWER INTERNATIONAL BHD,6742.KL
