Company Name,Company Ticker
Aixtron SE,AIXA.DE
Aroundtown S.A.,AT1.DE
Aurubis AG,NDA.DE
Bechtle AG,BC8.DE
Befesa S.A.,BFSA.DE
Bilfinger SE,GBF.DE
Carl Zeiss Meditec AG,AFX.DE
CTS Eventim AG & Co. KGaA,EVD.DE
Delivery Hero,DHER.DE
Deutsche Lufthansa AG,LHA.DE
Encavis AG,ECV.DE
Evonik Industries AG,EVK.DE
Evotec SE,EVT.DE
Fraport AG,FRA.DE
Freenet AG,FNTN.DE
Fresenius Medical Care AG,FRE.DE
Fuchs Petrolub SE,FPE3.DE
GEA Group AG,G1A.DE
Gerresheimer AG,GXI.DE
HELLA GmbH & Co. KGaA,HLE.DE
HelloFresh SE,HFG.DE
Hensoldt AG,HAG.DE
Hochtief AG,HOT.DE
Hugo Boss AG,BOSS.DE
Jenoptik AG,JEN.DE
Jungheinrich AG,JUN3.DE
K+S AG,SDF.DE
Kion Group AG,KGX.DE
Knorr-Bremse AG,KBX.DE
Krones,KRN.DE
Lanxess AG,LXS.DE
LEG Immobilien AG,LEG.DE
Nemetschek SE,NEM.DE
Nordex SE,NDX1.DE
PUMA SE,PUM.DE
Rational AG,RAA.DE
Redcare Pharmacy N.V.,RDC.DE
RTL Group SA,RRTL.DE
Scout24 AG,G24.DE
Siltronic AG,WAF.DE
STABILUS SE,STM.DE
Ströer SE & Co. KGaA,SAX.DE
TAG Immobilien AG,TEG.DE
Talanx AG,TLX.DE
TeamViewer AG,TMV.DE
Thyssenkrupp AG,TKA.DE
Traton SE,8TRA.DE
TUI AG,TUI1.DE
United Internet AG,UTDI.DE
Wacker Chemie AG,WCH.DE
