Company Name,Company Ticker
Arca Continental,AC
ALFA,ALFA A
Alsea,ALSEA
América Móvil,AMXB
Grupo Aeroportuario del Sureste,ASUR B
Banco del Bajío,BBAJIO O
Grupo Bimbo,BIMBO A
Bolsa Mexicana de Valores,BOLSA A
Cemex,CEMEX CPO
Becle,CUERVO
Grupo Elektra,ELEKTRA
FEMSA,FEMSA UBD
Grupo Aeroportuario del Pacífico,GAP B
Grupo Carso,GCARSO A1
Grupo Cementos de Chihuahua,GCC
Inbursa,GFINBUR O
Banorte,GFNORTE O
Grupo México,GMEXICO B
Gruma,GRUMA B
Kimberly-Clark de México,KIMBER A
Coca-Cola FEMSA,KOFUBL
Genomma Lab Internacional,LAB B
El Puerto de Liverpool,LIVEPOL C-1
Megacable,MEGA CPO
Grupo Aeroportuario Centro Norte,OMA B
Orbia,ORBIA
Peñoles,PE&OLES
Pinfra,PINFRA
Quálitas,Q
Regional,R A
Televisa,TLEVISA CPO
Corporación Inmobiliaria Vesta,VESTA
Volaris,VOLAR A
Walmart de México y Centroamérica,WALMEX
