Company Name,Company Ticker
ABB Ltd,ABB.ST
Addtech B,ADDT B.ST
Alfa Laval,ALFA.ST
Assa Abloy B,ASSA B.ST
AstraZeneca,AZN.ST
Atlas Copco A,ATCO A.ST
Boliden,BOL.ST
Epiroc A,EPI A.ST
EQT,EQT.ST
Ericsson B,ERIC B.ST
Essity B,ESSITY B.ST
Evolution,EVO.ST
Handelsbanken A,SHB A.ST
Hennes & Mauritz B,HM B.ST
Hexagon B,HEXA B.ST
Industrivärden C,INDU C.ST
Investor B,INVE B.ST
Lifco B,LIFCO B.ST
Nibe Industrier B,NIBE B.ST
Nordea Bank Abp,NDA SE.ST
Saab B,SAAB B.ST
Sandvik,SAND.ST
SCA B,SCA B.ST
SEB A,SEB A.ST
Skanska B,SKA B.ST
SKF B,SKF B.ST
Swedbank A,SWED A.ST
Tele2 B,TEL2 B.ST
Telia Company,TELIA.ST
Volvo B,VOLV B.ST
