Company,Ticker
Accor,AC.PA
Air Liquide,AI.PA
Airbus,AIR.PA
ArcelorMittal,MT.AS
Axa,CS.PA
BNP Paribas,BNP.PA
Bouygues,EN.PA
Bureau Veritas,BVI.PA
Capgemini,CAP.PA
Carrefour,CA.PA
Crédit Agricole,ACA.PA
Danone,BN.PA
Dassault Systèmes,DSY.PA
Edenred,EDEN.PA
Engie,ENGI.PA
EssilorLuxottica,EL.PA
Eurofins Scientific,ERF.PA
Hermès,RMS.PA
Kering,KER.PA
L'Oréal,OR.PA
Legrand,LR.PA
LVMH,MC.PA
Michelin,ML.PA
Orange,ORA.PA
Pernod Ricard,RI.PA
Publicis,PUB.PA
Renault,RNO.PA
Safran,SAF.PA
Saint-Gobain,SGO.PA
Sanofi,SAN.PA
Schneider Electric,SU.PA
Société Générale,GLE.PA
Stellantis,STLAP.PA
STMicroelectronics,STMPA.PA
Teleperformance,TEP.PA
Thales,HO.PA
TotalEnergies,TTE.PA
Unibail-Rodamco-Westfield,URW.PA
Veolia,VIE.PA
Vinci,DG.PA
