Company,Ticker
Adidas,ADS.DE
Adyen,ADYEN.AS
Ahold Delhaize,AD.AS
Air Liquide,AI.PA
Airbus,AIR.PA
Allianz,ALV.DE
Anheuser-Busch InBev,ABI.BR
ASML Holding,ASML.AS
Axa,CS.PA
BASF,BAS.DE
Bayer,BAYN.DE
BBVA,BBVA.MC
Banco Santander,SAN.MC
BMW,BMW.DE
BNP Paribas,BNP.PA
Danone,BN.PA
Deutsche Bank,DB1.DE
Deutsche Post,DHL.DE
Deutsche Telekom,DTE.DE
Enel,ENEL.MI
Eni,ENI.MI
EssilorLuxottica,EL.PA
Ferrari,RACE.MI
Hermès,RMS.PA
Iberdrola,IBE.MC
Inditex,ITX.MC
Infineon Technologies,IFX.DE
ING Group,INGA.AS
Intesa Sanpaolo,ISP.MI
L'Oréal,OR.PA
LVMH Moët Hennessy Louis Vuitton,MC.PA
Mercedes-Benz Group,MBG.DE
Munich Re,MUV2.DE
Nordea,NDA-FI.HE
Prosus,PRX.AS
Rheinmetall,RHM.DE
Safran,SAF.PA
Saint-Gobain,SGO.PA
Sanofi,SAN.PA
SAP,SAP.DE
Schneider Electric,SU.PA
Siemens,SIE.DE
Siemens Energy,ENR.DE
TotalEnergies,TTE.PA
Vinci SA,DG.PA
UniCredit,UCG.MI
Volkswagen Group,VOW.DE
Wolters Kluwer,WKL.AS
