Company,Ticker
ACS,ACS.MC
Acerinox,ACX.MC
Amadeus IT Group,AMS.MC
Acciona,ANA.MC
Acciona Energía,ANE.MC
BBVA,BBVA.MC
Bankinter,BKT.MC
CaixaBank,CABK.MC
Cellnex Telecom,CLNX.MC
Inmobiliaria Colonial,COL.MC
AENA,AENA.MC
Endesa,ELE.MC
Enagás,ENG.MC
Fluidra,FDR.MC
Ferrovial,FER.MC
Grifols,GRF.MC
International Airlines Group,IAG.MC
Iberdrola,IBE.MC
Indra,IDR.MC
Inditex,ITX.MC
Logista,LOG.MC
Mapfre,MAP.MC
Merlin Properties,MRL.MC
ArcelorMittal,MTS.MC
Naturgy,NTGY.MC
Redeia Corporación,RED.MC
Repsol,REP.MC
Laboratorios Rovi [es],ROVI.MC
Banco Sabadell,SAB.MC
Santander,SAN.MC
Sacyr,SCYR.MC
Solaria,SLR.MC
Telefónica,TEF.MC
Unicaja,UNI.MC
