Company,Ticker
Axis Bank,AXISBANK.BO
Bharat Electronics,BEL.BO
Eternal,ETERNAL.BO
HCLTech,HCLTECH.BO
HDFC Bank,HDFCBANK.BO
ICICI Bank,ICICIBANK.BO
Infosys,INFY.BO
ITC,ITC.BO
Kotak Mahindra Bank,KOTAKBANK.BO
Larsen & Toubro,LT.BO
Mahindra & Mahindra,M&M.BO
Maruti Suzuki,MARUTI.BO
NTPC,NTPC.BO
Power Grid,POWERGRID.BO
Reliance Industries,RELIANCE.BO
State Bank of India,SBIN.BO
Sun Pharma,SUNPHARMA.BO
Tata Consultancy Services,TCS.BO
Tata Steel,TATASTEEL.BO
Tech Mahindra,TECHM.BO
Titan Company,TITAN.BO
Trent,TRENT.BO
