Company,Ticker
Nestlé SA,NESN.SW
Roche Holding AG,ROG.SW
Novartis International AG,NOVN.SW
Compagnie Financière Richemont SA,CFR.SW
Zurich Insurance Group AG,ZURN.SW
UBS Group AG,UBSG.SW
ABB Ltd,ABBN.SW
Lonza Group AG,LONN.SW
Sika AG,SIKA.SW
Alcon Inc,ALC.SW
Givaudan SA,GIVN.SW
Holcim Limited,HOLN.SW
Swisscom AG,SCMN.SW
Partners Group Holding AG,PGHN.SW
Swiss Reinsurance Company Ltd,SREN.SW
Sonova,SOON.SW
Geberit AG,GEBN.SW
Swiss Life Holding AG,SLHN.SW
Logitech International SA,LOGN.SW
Kuehne + Nagel,KNIN.SW
