Sector,Count,Percentage
Banks,4,16.666666666666664
Airlines,1,4.166666666666666
Toys,1,4.166666666666666
Industrial Goods & Services,1,4.166666666666666
Soft Drinks,1,4.166666666666666
Construction & Materials,1,4.166666666666666
Basic Resources,1,4.166666666666666
Integrated Oil and Gas,1,4.166666666666666
Water,1,4.166666666666666
Heavy Construction,1,4.166666666666666
Fixed Line Telecommunications,1,4.166666666666666
Real Estate Holding & Development,1,4.166666666666666
Exploration & Production,1,4.166666666666666
Nonferrous Metals,1,4.166666666666666
Gambling,1,4.166666666666666
Consumer Products & Services,1,4.166666666666666
Conventional Electricity,1,4.166666666666666
Technology,1,4.166666666666666
Personal Products,1,4.166666666666666
Construction Materials and Fixtures,1,4.166666666666666
Diversified Industrials,1,4.166666666666666
