Sector,MarketCap,Weight (%)
Food & Beverage,103294771200,31.339057452180636
Health Care,92559847424,28.082141452923903
Banks,40429629440,12.266124074541091
Financial Services,25531253760,7.746039989397284
Utilities,11656984576,3.5366641031530506
Insurance,11127129088,3.375908903379829
Real Estate,10867643392,3.2971823905032207
Consumer Discretionary,8300580864,2.518349937381605
Chemicals,7228550400,2.1931018738883012
Basic Materials,6868444160,2.0838476491764046
Consumer Staples,6498895872,1.9717287597646336
Basic Resources,2663433984,0.8080710153571294
Electronic Equipment,2576785664,0.7817823983529133
