Sector,MarketCap,Weight (%)
Financial Services,51645743104000,31.420093301244233
Technology,22254749745152,13.539282646789141
Consumer Cyclical,19022820147200,11.573050322351165
Energy,18919072989184,11.509932915403654
Communication Services,11789528989696,7.17248080036401
Industrials,11522162819072,7.009821314379157
Consumer Defensive,11092290961408,6.74829707126422
Basic Materials,8115789234176,4.937461243176373
Utilities,6024842969088,3.665377179933128
Healthcare,3984704143360,2.4242032050949205
