Sector,MarketCap,Weight (%)
Industrials,693150120448,27.207905378873015
Consumer Cyclical,597549546496,23.455339674100696
Consumer Defensive,283421953024,11.125032590614527
Financial Services,266422812672,10.457773091445045
Healthcare,243157000192,9.544530770850322
Basic Materials,124806080512,4.898956126681145
Energy,113469956096,4.453984407893428
Technology,81038434304,3.180964682181945
Communication Services,62760005632,2.4634898623538435
Utilities,47361495040,1.859059152752401
Real Estate,12843653120,0.5041460550885712
Inspection and certification,12087956480,0.47448303971902434
Consumer Services,9536583680,0.3743351674460396
