Sector,Count,Percentage
Automotive,7,17.073170731707318
Financial Services,5,12.195121951219512
Aerospace & Defence,3,7.317073170731707
Chemicals,3,7.317073170731707
Pharmaceuticals,2,4.878048780487805
Healthcare,2,4.878048780487805
Utilities,2,4.878048780487805
Technology,2,4.878048780487805
Apparel,1,2.4390243902439024
Consumer goods,1,2.4390243902439024
Logistics,1,2.4390243902439024
Telecommunication,1,2.4390243902439024
Insurance,1,2.4390243902439024
Construction Materials,1,2.4390243902439024
Distribution,1,2.4390243902439024
Consumer Goods,1,2.4390243902439024
Biotech,1,2.4390243902439024
Medical Technology,1,2.4390243902439024
Industrials,1,2.4390243902439024
Energy technology,1,2.4390243902439024
Medical Equipment,1,2.4390243902439024
Real Estate,1,2.4390243902439024
E-Commerce,1,2.4390243902439024
