Sector,MarketCap,Weight (%)
Financial Services,347900882944,16.371055692236126
Technology,314624905216,14.805199118407355
Aerospace & Defence,259987755008,12.2341569832133
Automotive,230266344448,10.835566489817237
Industrials,189891067904,8.935640581903819
Telecommunication,144562667520,6.802637179190725
Energy technology,83929022464,3.9494199880321905
Pharmaceuticals,75581040640,3.5565917945479066
Utilities,72173832192,3.396259924202398
Chemicals,60147996672,2.83036419729997
Medical Equipment,53419700224,2.513752997776763
Logistics,44027437056,2.0717844057504635
Healthcare,39980433408,1.8813459062921127
Construction Materials,34321156096,1.6150391833296602
Apparel,34049310720,1.6022470462344258
Insurance,31089940480,1.4629889489194363
Consumer Goods,28074156032,1.3210761870540555
Real Estate,23046440960,1.08448867755453
Consumer goods,20645822464,0.9715235745020201
Medical Technology,14600597504,0.6870554419270701
Biotech,8931955712,0.4203080577558518
Distribution,6996915200,0.3292515024501722
E-Commerce,6848044032,0.32224612160240773
