Sector,MarketCap,Weight (%)
Technology,614456049664,12.55478178938347
Banking,606610878464,12.39448649638373
Personal and household goods,500285276160,10.222004451034119
Goods and Services,331341807616,6.770092172733118
Insurance,299018969088,6.109660584901211
Aerospace,287334539264,5.870920211437721
Luxury,264441450496,5.403160582210548
Electric utility,196607401984,4.01715148127597
Telecommunication,170742724608,3.488675310057457
Automotive industry,169856337920,3.470564345969888
Chemistry,164276969472,3.356564730496145
Petroleum,157998649344,3.2282838888410965
Food and beverage,151508574208,3.095676394499167
Clothing,149211643904,3.048744707899432
Consumer Internet,131224985600,2.6812349889367733
Optical industry,128687128576,2.629380602986147
Pharmaceutical industry,103614259200,2.117082930888155
Construction and materials,67642306560,1.382091362036007
Automotive,59921182720,1.2243306482583265
Software—Infrastructure,46138195968,0.9427118226776406
Building materials,44841168896,0.916210510056848
Logistics,44106682368,0.9012032233821959
Semiconductors,42308182016,0.8644556325987109
Finance,41108217856,0.8399375434821357
Sportwear,34040383488,0.6955250696164008
Bookmaking,32678756352,0.6677038258019228
Retail,32514056192,0.6643386142939438
Alcohol,21682579456,0.4430260778617213
