Sector,MarketCap,Weight (%)
Banks,350031908864,14.360434851673553
Pharmaceuticals & biotechnology,294164770816,12.06842553489018
Oil & gas producers,218306097152,8.95624200676077
Mining,202941833216,8.325906583876305
Aerospace & defence,163244646400,6.6972868762730915
Support services,127007565824,5.210621741899072
Financial services,121174593536,4.97131779156697
Personal goods,115102823424,4.722216904134469
Tobacco,101940635648,4.182224019839509
Media,95786805760,3.929756541998107
Multiline utilities,85871954432,3.5229891217881586
Beverages,82217869312,3.3730763567533057
Life insurance,66405655040,2.724363290419735
Household goods & home construction,51934926592,2.1306861202206506
Food & drug retailing,44073377792,1.8081576406256195
Travel & leisure,40540905216,1.6632341607702983
Telecommunications services,26022387712,1.067596393242993
Mobile telecommunications,20511064064,0.8414884236854449
Electrical utilities & independent power producers,20329025536,0.8340200976396206
General retailers,19772490240,0.8111876396308565
Collective investments,18460476416,0.7573608639371938
Health care equipment & supplies,16172972032,0.6635135407432592
Food & tobacco,15582179328,0.6392756357929068
Insurance,15000066560,0.6153938345356412
Real estate investment trusts,13654743552,0.5602005138079935
Electronic equipment & parts,13091139584,0.5370780559415783
Software & computer services,11067797504,0.45406827487107887
Industrial engineering,10721537536,0.4398625879428664
Precious Metals and Mining,8559930368,0.3511803331972417
General industrials,7643961344,0.31360172061305663
Industrial goods and services,7347020800,0.30141941600325234
Industrial Support services,7043342848,0.2889607019970386
Retailers,5250722304,0.21541651964112196
Retail hospitality,5019218944,0.20591884575758118
Investment trusts,4953546240,0.2032245525704659
Investment Trusts,4912902656,0.20155710590234713
Leisure Goods,4759561728,0.1952661297059606
Non-life Insurance,4551915008,0.18674720009065437
Homebuilding & construction supplies,4402622464,0.18062231319416977
Real Estate Investment Trusts,4348633600,0.17840736208670063
Chemicals,3866665728,0.15863411270232833
Containers & packaging,3682006784,0.1510582812768535
