Sector,Count,Percentage
Financial services,6,20.0
Telecommunications service & Internet services,2,6.666666666666667
Electric power industry,2,6.666666666666667
Plantation,2,6.666666666666667
Conglomerate,2,6.666666666666667
Oil and gas,2,6.666666666666667
Retailers,1,3.3333333333333335
"Mobile network, network infrastructure & digital internet",1,3.3333333333333335
"Energy shipping, Maritime services",1,3.3333333333333335
Construction,1,3.3333333333333335
Healthcare,1,3.3333333333333335
Plantations,1,3.3333333333333335
Chemicals,1,3.3333333333333335
Food & Beverages,1,3.3333333333333335
Retail,1,3.3333333333333335
Plantation & Properties,1,3.3333333333333335
Agriculture,1,3.3333333333333335
Metals,1,3.3333333333333335
Industrial,1,3.3333333333333335
Telecommunications,1,3.3333333333333335
