Sector,MarketCap,Weight (%)
Financial services,371518588928,32.416848108856954
Electric power industry,110706970624,9.659734824211979
Telecommunications service & Internet services,73258254336,6.392147726396426
Healthcare,72809897984,6.353026400587767
Oil and gas,59493103616,5.191069736265922
Plantation,59206680576,5.1660778988201885
Metals,51497611264,4.493423188139788
Conglomerate,43422614528,3.7888394863504877
Industrial,34488492032,3.0092927810983277
Chemicals,32080001024,2.7991399394782954
"Energy shipping, Maritime services",31960418304,2.7887057512944162
Construction,29739339776,2.5949055824044196
Telecommunications,27401451520,2.390913182699973
Retailers,26712000512,2.3307551468145453
Plantations,24752752640,2.159801007325891
"Mobile network, network infrastructure & digital internet",24711020544,2.1561596740047246
Food & Beverages,24645949440,2.150481895940563
Retail,16393834496,1.430443747948137
Agriculture,15732590592,1.3727469224387416
Plantation & Properties,15534780416,1.355486998922449
