Sector,MarketCap,Weight (%)
Banks,282284440064,32.979012823946654
Utilities,125046633472,14.609074903063956
Automobiles and Parts,91608162816,10.702491343844873
Energy,81835819008,9.560798051465811
Industrial Goods and Services,71294391808,8.329253504650971
Insurance,63985005568,7.475305116672212
Financial Services,43807362560,5.117970977507546
Technology,22473639936,2.625573196602926
Consumer Products and Services,20354215936,2.3779629802568416
Telecommunications,19775821824,2.310389766399859
Health Care,17984018688,2.101055172588261
Construction and Materials,8703484928,1.0168195632336727
"Food, Beverage and Tobacco",6798761472,0.7942925997664189
