Sector,Count,Percentage
Financial Services,6,17.647058823529413
Energy,6,17.647058823529413
Construction,3,8.823529411764707
Steel,2,5.88235294117647
Telecommunications,2,5.88235294117647
Aviation,2,5.88235294117647
Real Estate,2,5.88235294117647
Pharmaceuticals,2,5.88235294117647
Tourism,1,2.941176470588235
Manufacturing,1,2.941176470588235
Infrastructure,1,2.941176470588235
Information Technology,1,2.941176470588235
Textile,1,2.941176470588235
Logistics,1,2.941176470588235
Insurance,1,2.941176470588235
Oil and Gas,1,2.941176470588235
Solar Energy,1,2.941176470588235
