Sector,MarketCap,Weight (%)
Financial Services,312615220736,33.113587768794595
Energy,187346159616,19.844534392744666
Textile,149398618112,15.824962846470383
Aviation,56314484736,5.96507946276474
Telecommunications,44554655744,4.719426328679309
Infrastructure,37933424640,4.018076225560264
Construction,31193144576,3.3041159297050404
Tourism,29206323200,3.0936630161834278
Steel,27999586560,2.9658401304378694
Oil and Gas,16162996224,1.7120560950616748
Insurance,12278799360,1.3006247723495967
Real Estate,11000744960,1.1652475938230473
Pharmaceuticals,10291727616,1.0901453387413325
Information Technology,7581798400,0.8030976424392471
Manufacturing,4500450816,0.47670766875618664
Logistics,3770058496,0.39934128161408955
Solar Energy,1921119744,0.20349350587452836
