Sector,MarketCap,Weight (%)
Financial services,371686543360,32.48490601584456
Electric power industry,110073081856,9.620239911411693
Telecommunications service & Internet services,73453918208,6.419774059916112
Healthcare,72898265088,6.37121072152501
Oil and gas,59553042432,5.204856137305393
Plantation,59092971520,5.164646555861201
Metals,51168026624,4.4720169874079785
Conglomerate,43490769920,3.8010350351574256
Industrial,34239479808,2.9924846714641293
Chemicals,32080001024,2.8037491183625862
"Energy shipping, Maritime services",31915780096,2.789396429229184
Construction,29505171456,2.578712463101477
Telecommunications,27401451520,2.3948501586262028
Retailers,26544001024,2.319910133830038
Plantations,24752752640,2.1633574244441762
Food & Beverages,24645949440,2.154022967826975
"Mobile network, network infrastructure & digital internet",24435433472,2.135624154209741
Retail,16014786560,1.399670893550561
Agriculture,15696089088,1.371817161392763
Plantation & Properties,15534780416,1.3577189995327965
