Sector,MarketCap,Weight (%)
Medical technology,30810191360,10.440268751943975
Real Estate,27217336320,9.22280236992484
Manufacturing,19915739136,6.748600375244424
Construction,18975932416,6.430139687446769
Chemistry,16636704128,5.6374743088546575
Software,13154244736,4.457416335653824
Real estate,11817876480,4.004577741398282
Defence,10614450176,3.5967875433396537
Machinery,10036722688,3.401020169822585
Automotive,9602657024,3.253933703036323
Airlines,8567796736,2.9032633874516893
Telecommunications,7845605888,2.658543500605965
Media,7478433280,2.5341242569511224
Leisure-events,7396129792,2.5062350911909266
Online-market,7264877056,2.4617590987423044
Conglomerate,7215142400,2.444906130552058
Handling equipment,7126630912,2.414913336558764
Airport operator,7109513216,2.4091128744789954
Delivery service,6756812800,2.2895976436601746
Metals,4527441408,1.534158113654755
IT services,4389839872,1.4875307818172323
Tourism,3731648000,1.264497436982301
Semiconductor industry,3101983232,1.0511307193031265
Sports equipment,3099550208,1.0503062705308641
"Intralogistics, Mechanical engineering",2874439936,0.9740259348769147
"Clothing, Accessories",2796535040,0.9476272656239806
Mining (fertilizer and salt),2020247936,0.6845764491025904
Pharmacy,1727467136,0.5853654379896377
Waste management,1174400000,0.39795441316866276
Biotechnology,1165405440,0.39490653778845985
Meal kit,1148142720,0.3890569332182155
Packaging,912546816,0.3092234610441176
