Sector,MarketCap,Weight (%)
integrated oil and gas,593481236480,21.10759327047369
banks,401310941184,14.272916481308705
diversified industrials,262998130688,9.353720441748562
telecommunications services,227341402112,8.085562869317462
"farming, fishing, ranching and plantations",200698855424,7.138001253864669
marine transportation,175620683264,6.246077760108124
oil: crude producers,157742399488,5.610223550872927
full line insurance,141185531904,5.021366472814421
aluminum,137390604288,4.886397102789332
food products,105811124224,3.7632498490742483
fertilizers,97458028544,3.466165905513494
offshore drilling and other services,80559030272,2.8651406998651696
oil equipment and services,72784889856,2.5886477227632576
life insurance,66291748864,2.3577144249898327
machinery: industrial,40255414272,1.4317131851167328
semiconductors,33169334272,1.179691578824419
airlines,17596080128,0.6258174305549505
