Sector,MarketCap,Weight (%)
Industrials,72996934656,34.45913144639853
Information Technology,29434936192,13.895136009976422
Financials,29169303040,13.769740502008517
Materials,23530322560,11.107788044693603
Utilities,16011683840,7.558519007967468
Energy,12825827328,6.0545949208298016
Health Care,9553099776,4.509662254354491
Consumer Staples,7451920896,3.517774039328394
Communication Services,7203847680,3.4006679224926755
Real Estate,2610552832,1.2323446677532763
Consumer Discretionary,1047829376,0.4946411841968203
