Sector,MarketCap,Weight (%)
Utilities,34896102656,41.146523289615104
"Personal Care, Drug & Grocery Stores",15831414784,18.667061005032046
Energy,11770800128,13.879128749092033
Banks,11304953856,13.329842352579993
Basic Resources,4679005568,5.517086348404819
Telecommunications,1967605376,2.3200333064825984
Industrial Goods & Services,1868706624,2.203420289762745
Construction & Materials,1783902080,2.103425967211621
Travel & Leisure,410753248,0.48432537729857617
Technology,296114688,0.34915331452047377
