Sector,MarketCap,Weight (%)
Information Technology,20421209377280,32.063066180563006
Communication Services,9675775329280,15.191804706538155
Financials,8417067097088,13.21552384064132
Consumer Discretionary,6460006072320,10.142768647878354
Health Care,5328802284544,8.366680795240296
Industrials,4809710499840,7.551661765795931
Consumer Staples,3351432227840,5.26203866458855
Energy,1641613708800,2.577475604688434
Utilities,1426778296320,2.240165413062933
Real Estate,1134363732992,1.7810492401208342
Materials,1023997779456,1.6077651408821905
