Sector,MarketCap,Weight (%)
Financials,918136577152,30.661293626829256
Materials,739377942320,24.691625140342513
Healthcare,267193983512,8.922978767708232
Consumer Discretionary,214404640368,7.160071602494981
Real Estate,191130917352,6.382842513772018
Industrials,167288983808,5.586637958572262
Communication Services,148852461440,4.970947831580111
Energy,111654468352,3.728715883978361
Information Technology,105440485248,3.5211990882365907
Consumer Staples,91732720384,3.0634264496969372
Utilities,39235091968,1.3102611367887356
