Sector,Count,Percentage
Electric Utilities,4,8.333333333333332
Packaged Foods & Meats,4,8.333333333333332
Diversified REITs,3,6.25
Diversified Banks,3,6.25
Application Software,3,6.25
Health Care Facilities,3,6.25
Retail REITs,2,4.166666666666666
Air Freight & Logistics,2,4.166666666666666
Alternative Carriers,1,2.083333333333333
Oil and Gas Refining,1,2.083333333333333
Airlines,1,2.083333333333333
Health Care Distributors,1,2.083333333333333
Health Care Equipment & Services,1,2.083333333333333
Construction Materials,1,2.083333333333333
Consumer Cyclical,1,2.083333333333333
Airport Services,1,2.083333333333333
Specialty Stores,1,2.083333333333333
Renewable Electricity,1,2.083333333333333
Financial Exchanges & Data,1,2.083333333333333
Office REITs,1,2.083333333333333
Industrial REITs,1,2.083333333333333
Marine Ports & Services,1,2.083333333333333
Casinos & Gaming,1,2.083333333333333
Industrial Machinery,1,2.083333333333333
Cable & Satellite,1,2.083333333333333
Integrated Telecommunication Services,1,2.083333333333333
Tourism,1,2.083333333333333
Automotive,1,2.083333333333333
Multi-Utilities,1,2.083333333333333
Health Care REITs,1,2.083333333333333
Metals & Mining,1,2.083333333333333
Retail,1,2.083333333333333
