Sector,MarketCap,Weight (%)
Financial Services,1289433411584,34.45135953937442
Energy,592616067584,15.833643699418415
Basic Materials,489670002688,13.083108570551992
Information Technology,408895563776,10.924959718855929
Industrials,389783555072,10.414320954988082
Consumer Staples,187387254784,5.006653022686456
Consumer Cyclical,165171511296,4.4130880045445755
Utilities,110267795456,2.946158702528219
Communication Services,91640936448,2.448482272703492
Real Estate,17898856960,0.47822551434841837
