Sector,MarketCap,Weight (%)
Financial Services,1497474243328,30.74762915820793
Basic Materials,788326215360,16.186697189337636
Energy,768922568832,15.78828223801669
Industrials,554809830272,11.39190673264568
Information Technology,477906847232,9.812858268734342
Consumer Staples,213372983296,4.38118611521846
Consumer Cyclical,205456802240,4.218643219710503
Utilities,157047704576,3.2246595238386044
Communication Services,103735037952,2.1299908775540017
Real Estate,95645133568,1.9638809220520101
Healthcare,7513066880,0.15426575468413925
