Sector,Count,Percentage
Energy & Utilities,10,19.607843137254903
Banking,8,15.686274509803921
Commerce,5,9.803921568627452
Property Development,4,7.8431372549019605
Food & Beverages,3,5.88235294117647
Transportation & Logistics,3,5.88235294117647
Finance & Securities,3,5.88235294117647
Electronic Components,3,5.88235294117647
Health Care Services,2,3.9215686274509802
Information & Communication Technology,2,3.9215686274509802
Petrochemicals & Chemicals,2,3.9215686274509802
Food & Beverage,2,3.9215686274509802
Construction Materials,1,1.9607843137254901
Packaging,1,1.9607843137254901
Insurance,1,1.9607843137254901
Media & Publishing,1,1.9607843137254901
