Sector,MarketCap,Weight (%)
Energy & Utilities,2523000000512,21.469894905964875
Electronic Components,2442294493184,20.78311775165924
Banking,1849626591232,15.739710075691779
Information & Communication Technology,1259958140928,10.721826740447666
Commerce,772167925760,6.57089346510495
Transportation & Logistics,694951464960,5.9138069418983985
Health Care Services,458550919168,3.9021165444204002
Property Development,407235399680,3.465438458717359
Food & Beverages,268172673024,2.2820606838321624
Construction Materials,242400002048,2.0627437844312744
Finance & Securities,225712910336,1.9207421572928942
Petrochemicals & Chemicals,216343486464,1.8410114613672277
Food & Beverage,173633118208,1.4775603643932718
Insurance,117935005696,1.0035878626689068
Packaging,72979644416,0.6210326181404033
Media & Publishing,26376605696,0.22445618396919256
