Sector,MarketCap,Weight (%)
Pharmacy,457352273920,33.225503260094726
Food,210550980608,15.2960041778013
Insurance,150093524992,10.903920650043863
Electrical equipment,108983287808,7.917364340018423
Banks,99417055232,7.222401376531967
Chemistry,98733725696,7.172759188177922
Luxury Goods,94335016960,6.853203957380624
Building materials,36730699776,2.6683938284441986
Telecommunications,30381840384,2.207165011062879
Private equity,26093895680,1.895656511234629
Sanitary engineering,19915851776,1.4468370134895148
Logistics,18082689024,1.3136623066692876
Medical devices,13000501248,0.9444540264248165
Computer hardware and software,12838352896,0.9326743526258459
