Sector,MarketCap,Weight (%)
Financial,290502983680,33.87967154636152
Real Estate,119989225472,13.99364473506283
Technology,105387210080,12.290696699455667
Telecommunications,94745075712,11.049566531452825
Healthcare,79499599104,9.271575360746864
Insurance,53399934976,6.2277234975900075
Chemicals,26923433984,3.1399233451001076
Oil & Gas,24287118336,2.8324652009002538
Utilities,22105929728,2.5780858734193806
Food Processing,10944414720,1.276383365443182
Retail,10776509440,1.2568015502575383
Construction,10518641664,1.2267279329659022
