Date,000001.SS,000300.SS,399001.SZ,EFA,URTH,XU100.IS,^AEX,^AORD,^ATX,^AXJO,^BFX,^BSESN,^BVSP,^CASE30,^DJGT,^DJI,^FCHI,^FTMC,^FTSE,^GDAXI,^GDOW,^GSPC,^GSPTSE,^HSI,^IBEX,^IPSA,^ISEQ,^IXIC,^JKSE,^KLSE,^KS11,^MERV,^MXX,^N225,^NSEI,^NZ50,^OMX,^OMXC25,^OMXH25,^RUT,^SET.BK,^SPG100,^SPG1200,^SPLAC,^SSMI,^STI,^STOXX,^STOXX50E,^TASI.SR,^TWII,^VIX
2022-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12006.58984375,,
2022-10-24,2977.56005859375,3633.3701171875,10694.6103515625,,,3977.47900390625,653.5399780273438,6978.39990234375,2820.47998046875,6779.39990234375,3495.18994140625,59831.66015625,116013.0,,,,6131.35986328125,17337.599609375,7014.0,12931.4501953125,,,18918.400390625,15180.6904296875,7680.5,,6731.16015625,,7053.0439453125,,2236.159912109375,139733.0,47765.23828125,26974.900390625,17730.75,,1938.72998046875,,4579.9501953125,,,,,,10595.5302734375,,401.8399963378906,3527.7900390625,12075.26953125,12856.98046875,29.850000381469727
2022-10-25,2976.280029296875,3627.449951171875,10639.8203125,54.57817459106445,102.06534576416016,3974.97900390625,666.2100219726562,6993.7001953125,2863.260009765625,6798.60009765625,3540.320068359375,59543.9609375,114626.0,,,31836.740234375,6250.5498046875,17831.599609375,7013.5,13052.9599609375,,3859.110107421875,19097.0,15165.58984375,7794.89990234375,,6920.27001953125,11199.1201171875,7048.3798828125,1444.4100341796875,2235.070068359375,143959.0,48641.26953125,27250.279296875,17656.349609375,10902.3095703125,1965.2900390625,1548.2900390625,4620.2998046875,1796.1600341796875,1600.6600341796875,,,,10773.33984375,2984.14990234375,407.6099853515625,3585.580078125,11973.8603515625,12666.1201171875,28.459999084472656
2022-10-26,2999.5,3656.89990234375,10818.330078125,55.093753814697266,101.81748962402344,3976.37890625,665.6300048828125,7005.10009765625,,6810.89990234375,3533.56005859375,,112764.0,,,31839.109375,6276.31005859375,18105.900390625,7056.10009765625,13195.8095703125,,3830.60009765625,19279.80078125,15317.669921875,7870.60009765625,,6938.1201171875,10970.990234375,7043.93896484375,1454.97998046875,2249.56005859375,145029.0,49327.109375,27431.83984375,,11046.5,1970.06005859375,1569.760009765625,4671.56005859375,1804.3299560546875,1596.4599609375,,,,10817.2099609375,3008.3798828125,410.30999755859375,3605.31005859375,11798.76953125,12729.0498046875,27.280000686645508
2022-10-27,2982.89990234375,3631.139892578125,10750.1396484375,54.57817459106445,101.29314422607422,3934.479248046875,669.4000244140625,7042.2998046875,2887.320068359375,6845.10009765625,3527.260009765625,59756.83984375,114641.0,,,32033.279296875,6244.02978515625,18081.900390625,7073.7001953125,13211.23046875,,3807.300048828125,19352.099609375,15427.9404296875,7921.10009765625,,6884.330078125,10792.669921875,7091.76123046875,1454.0899658203125,2288.780029296875,148110.0,48892.55859375,27345.240234375,17736.94921875,11100.51953125,1968.22998046875,1565.0699462890625,4652.43017578125,1806.3199462890625,1602.3299560546875,,,,10706.6201171875,3015.239990234375,410.19000244140625,3604.510009765625,11709.5,12926.3701171875,27.389999389648438
2022-10-28,2915.929931640625,3541.330078125,10401.83984375,55.121376037597656,103.22843933105469,3878.9794921875,667.52001953125,6973.5,2932.56005859375,6785.7001953125,3553.6298828125,59959.8515625,114539.0,,,32861.80078125,6273.0498046875,17916.69921875,7047.7001953125,13243.330078125,,3901.06005859375,19471.19921875,14863.0595703125,7916.5,,6927.1201171875,11102.4501953125,7056.0400390625,1447.31005859375,2268.39990234375,147845.0,49086.30078125,27105.19921875,17786.80078125,11129.5302734375,1974.280029296875,1566.72998046875,4604.490234375,1846.9200439453125,1606.0699462890625,,,,10772.3701171875,3059.18994140625,410.760009765625,3613.02001953125,,12788.419921875,25.75
2022-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11632.330078125,,
2022-10-31,2893.47998046875,3508.699951171875,10397.0400390625,54.60579299926758,102.40855407714844,3978.97900390625,670.6199951171875,7054.7998046875,2936.8701171875,6863.5,3567.429931640625,60746.58984375,116037.0,,,32732.94921875,6266.77001953125,17889.900390625,7094.5,13253.740234375,,3871.97998046875,19426.099609375,14687.01953125,7956.5,,6978.97998046875,10988.150390625,7098.89013671875,1460.3800048828125,2293.610107421875,149938.0,49922.30078125,27587.4609375,18012.19921875,11338.4296875,1968.530029296875,1574.6700439453125,4606.52978515625,1846.8599853515625,1608.760009765625,,,,10827.9296875,3093.110107421875,412.20001220703125,3617.5400390625,11667.7998046875,12949.75,25.8799991607666
2022-11-01,2969.199951171875,3634.169921875,10734.25,55.03851318359375,102.42762756347656,4054.678466796875,673.3200073242188,7169.60009765625,2949.3701171875,6976.89990234375,3589.64990234375,61121.3515625,116929.0,,,32653.19921875,6328.25,18195.900390625,7186.2001953125,13338.740234375,,3856.10009765625,19517.69921875,15455.26953125,7999.0,,6989.47021484375,10890.849609375,7052.30322265625,1445.9200439453125,2335.219970703125,153002.0,50864.8515625,27678.919921875,18145.400390625,11316.6396484375,1974.989990234375,1573.030029296875,4646.580078125,1851.3900146484375,1625.72998046875,,,,10783.650390625,3130.5,414.6099853515625,3651.02001953125,11530.4404296875,13037.2099609375,25.809999465942383
2022-11-02,3003.3701171875,3677.81005859375,10877.509765625,54.23751449584961,100.0728759765625,4071.87841796875,667.239990234375,7177.7998046875,2971.590087890625,6986.7001953125,3553.43994140625,60906.08984375,,,,32147.759765625,6276.8798828125,18217.80078125,7144.10009765625,13256.740234375,,3759.68994140625,19277.0,15827.169921875,7968.60009765625,,6947.97998046875,10524.7998046875,7015.68994140625,1451.6099853515625,2336.8701171875,149309.0,,27663.390625,18082.849609375,11282.7802734375,1980.52001953125,1583.489990234375,4619.85986328125,1789.1400146484375,1625.02001953125,,,,10806.23046875,3141.1298828125,413.3900146484375,3622.010009765625,11530.2900390625,13100.169921875,25.860000610351562
