Sector,MarketCap,Weight (%)
Technology,18117385332736,52.228042196736055
Communication Services,8781161889792,25.313966960108154
Consumer Cyclical,4634868570112,13.361205649180672
Healthcare,1017537990656,2.933316046258538
Consumer Defensive,869793730560,2.50740506026892
Industrials,598713528320,1.7259463684504799
Utilities,273114923008,0.7873242999168482
Basic Materials,212800536576,0.6134525043024516
Energy,84879945728,0.24468836455824186
Financial Services,66723627008,0.19234808681782545
Real Estate,32019494912,0.09230446340181508
