Sector,MarketCap,Weight (%)
Financial Services,57194802184192,28.279604165265155
Energy,27110611877888,13.404668664047053
Technology,25182749589504,12.451449484705083
Consumer Cyclical,24190378704896,11.960778047264482
Basic Materials,14499925983232,7.169395671846171
Consumer Defensive,14416010936320,7.127904413557723
Industrials,13488541663232,6.669323162871553
Communication Services,11629133561856,5.749950718514469
Healthcare,8552152629248,4.228557174429919
Utilities,5983227346944,2.9583684974983933
