Sector,MarketCap,Weight (%)
Technology,20529663286784,32.9241075248362
Communication Services,9510510369792,15.25232351144679
Financial Services,8030977654784,12.87954742082309
Consumer Cyclical,6391273603072,10.249899201398618
Healthcare,5317301943296,8.5275349370098
Industrials,4286416548864,6.874269557157618
Consumer Defensive,3278700715008,5.258161976391138
Energy,1624983919104,2.6060410505198726
Utilities,1391107337216,2.230965355314551
Real Estate,1101299420672,1.7661907083778974
Basic Materials,892267206656,1.4309587567244195
