Company Name,Company Ticker
Kweichow Moutai,SSE: 600519
Ping An Insurance,SSE: 601318
CATL,SZSE: 300750
China Merchants Bank,SSE: 600036
Midea Group,SZSE: 000333
Wuliangye Yibin,SZSE: 000858
China Yangtze Power,SSE: 600900
Industrial Bank,SSE: 601166
Zijin Mining Group,SSE: 601899
CITIC Securities,SSE: 600030
Jiangsu Hengrui Medicine,SSE: 600276
Industrial and Commercial Bank of China,SSE: 601398
Inner Mongolia Yili Industrial Group,SSE: 600887
East Money,SZSE: 300059
Gree Electric,SZSE: 000651
Mindray,SZSE: 300760
BYD,SZSE: 002594
Bank of Communications,SSE: 601328
Wanhua Chemical Group,SSE: 600309
BOE Technology Group,SZSE: 000725
Bank of Jiangsu,SSE: 600919
Luxshare Precision Industry,SZSE: 002475
Shenzhen Inovance Technology,SZSE: 300124
Agricultural Bank of China,SSE: 601288
Hangzhou Hikvision Digital Technology,SZSE: 002415
Luzhou Lao Jiao,SZSE: 000568
Longi Green Energy Technology,SSE: 601012
China Shenhua Energy,SSE: 601088
Beijing-Shanghai High Speed Railway,SSE: 601816
China Petroleum & Chemical Corporation,SSE: 600028
Shanxi Xinghuacun Fen Wine Factory,SSE: 600809
China State Construction Engineering,SSE: 601668
WuXi AppTec,SSE: 603259
Muyuan Foodstuff,SZSE: 002714
Ping An Bank,SZSE: 000001
Wens Foodstuff Group,SZSE: 300498
China Minsheng Bank,SSE: 600016
PetroChina,SSE: 601857
Shaanxi Coal Industry Company,SSE: 601225
Zhongji Innolight,SZSE: 300308
Semiconductor Manufacturing International Corporation,SSE: 688981
ZTE,SZSE: 000063
Bank of China,SSE: 601988
S.F. Holding,SZSE: 002352
NARI Technology,SSE: 600406
China Mobile,SSE: 600941
Weichai Power,SZSE: 000338
China United Network Communications,SSE: 600050
Iflytek,SZSE: 002230
Qingdao Haier,SSE: 600690
China Telecom Corporation,SSE: 601728
Sungrow Power Supply,SZSE: 300274
Bank of Ningbo,SZSE: 002142
Haitong Securities Company,SSE: 600837
Qinghai Salt Lake Potash,SZSE: 000792
China Pacific Insurance,SSE: 601601
TCL Corporation,SZSE: 000100
China International Travel Service,SSE: 601888
Shanghai Pudong Development Bank,SSE: 600000
Sany Heavy Industry,SSE: 600031
China National Nuclear Power,SSE: 601985
China CSSC Holdings,SSE: 600150
Hygon Information Technology,SSE: 688041
CRRC Corporation,SSE: 601766
Bank of Beijing,SSE: 601169
NAURA Technology Group,SZSE: 002371
TBEA,SSE: 600089
Huatai Securities,SSE: 601688
Foxconn Industrial Internet,SSE: 601138
Chongqing Changan Automobile,SZSE: 000625
Tongwei Company,SSE: 600438
Poly Real Estate Group,SSE: 600048
Will Semiconductor,SSE: 603501
SAIC Motor,SSE: 600104
Fuyao Glass Industry Group,SSE: 600660
China Vanke,SZSE: 000002
Aier Eye Hospital,SZSE: 300015
Guotai Junan Securities,SSE: 601211
Foshan Haitian Flavouring & Food Co,SSE: 603288
Zhangzhou Pientzehuang Pharmaceutical,SSE: 600436
China Cosco Holdings,SSE: 601919
China Three Gorges Renewables (Group),SSE: 600905
China Railway Group Limited,SSE: 601390
Bank of Shanghai,SSE: 601229
Chongqing Zhifei Biological Products,SZSE: 300122
Focus Media Information Technology,SZSE: 002027
Advanced Micro-Fabrication Equipment,SSE: 688012
Beijing Kingsoft Office Software,SSE: 688111
Daqin Railway,SSE: 601006
Jiangsu Yanghe Brewery Joint-Stock,SZSE: 002304
China Everbright Bank,SSE: 601818
Baoshan Iron and Steel,SSE: 600019
United Imaging,SSE: 688271
Dawning Information Industry,SSE: 603019
Anhui Conch Cement,SSE: 600585
ZHEJIANG SANHUA INTELLIGENT CONTROLS,SZSE: 002050
Tianqi Lithium Industries,SZSE: 002466
Postal Savings Bank of China,SSE: 601658
China Shipbuilding Industry Company,SSE: 601989
CNOOC Limited,SSE: 600938
China Merchants Securities,SSE: 600999
Transsion,SSE: 688036
Unisplendour,SZSE: 000938
China Life Insurance Company,SSE: 601628
GigaDevice,SSE: 603986
Unigroup Guoxin Microelectronics,SZSE: 002049
Aluminum Corporation of China Limited,SSE: 601600
China Northern Rare Earth Group,SSE: 600111
Montage Technology,SSE: 688008
Eve Energy,SZSE: 300014
China Construction Bank,SSE: 601939
Orient Securities,SSE: 600958
AVIC Aviation Engine Corporation,SSE: 600893
Ganfeng Lithium,SZSE: 002460
Bank of Nanjing,SSE: 601009
Yunnan Baiyao Group,SZSE: 000538
Power Construction Corporation of China,SSE: 601669
Shanghai International Airport,SSE: 600009
Tianjin Zhonghuan Semiconductor,SZSE: 002129
China Molybdenum,SSE: 603993
SDIC Power Holdings,SSE: 600886
AVIC SHENYANG AIRCRAFT COMPANY,SSE: 600760
XCMG Construction Machinery,SZSE: 000425
GF Securities,SZSE: 000776
China Zheshang Bank,SSE: 601916
GD Power Development,SSE: 600795
Chang Chun High and New Technology Industry (Group),SZSE: 000661
Shenwan Hongyuan,SZSE: 000166
Shandong Hualu-Hengsheng Chemical,SSE: 600426
Hua Xia Bank,SSE: 600015
Maxscend Microelectronics,SZSE: 300782
Industrial Securities,SSE: 601377
China Railway Construction,SSE: 601186
Zoomlion Heavy Industry Science & Technology,SZSE: 000157
GoerTek,SZSE: 002241
Bank of Hangzhou,SSE: 600926
Shandong Gold-Mining,SSE: 600547
Huaneng Power International,SSE: 600011
Inspur Electronic Information Industry,SZSE: 000977
Shanghai RAAS Blood Products,SZSE: 002252
Sichuan Chuantou Energy,SSE: 600674
ZHEJIANG HUAYOU COBALT,SSE: 603799
JCET,SSE: 600584
Hundsun Technologies,SSE: 600570
Zhejiang Dahua Technology,SZSE: 002236
AVIC Jonhon Optronic Technology,SZSE: 002179
Anhui Gujing Distillery,SZSE: 000596
Guangdong Haid Group,SZSE: 002311
Yanzhou Coal Mining,SSE: 600188
IMEIK TECHNOLOGY DEVELOPMENT,SZSE: 300896
Cambricon Technologies,SSE: 688256
Inner Mongolia Baotou Steel Union,SSE: 600010
Beijing Oriental Yuhong Waterproof Technology,SZSE: 002271
Air China,SSE: 601111
China Merchants Shekou Industrial Zone Holdings,SZSE: 001979
Chaozhou Three-Circle,SZSE: 300408
Baosight Software,SSE: 600845
Jiangsu King's Luck Brewery Joint-Stock,SSE: 603369
Ningxia Baofeng Energy Group,SSE: 600989
Wingtech,SSE: 600745
Everbright Securities,SSE: 601788
China Eastern Airlines Corp,SSE: 600115
China Southern Airlines,SSE: 600029
LB Group,SZSE: 002601
360 Security Technology,SSE: 601360
Founder Securities,SSE: 601901
Rongsheng Petro Chemical,SZSE: 002493
Fosun Pharmaceutical,SSE: 600196
JA Solar Technology,SZSE: 002459
Shanxi Lu'an Environmental Energy Development,SSE: 601699
China International Capital Corporation,SSE: 601995
Beijing Tongrentang,SSE: 600085
Jiangsu Hengli Hydraulic,SSE: 601100
China Communications Construction Company,SSE: 601800
Henan Shuanghui Investment & Development,SZSE: 000895
37 Interactive Entertainment Network Technology Group,SZSE: 002555
CGN Power,SZSE: 003816
Zhongjin Gold,SSE: 600489
China Securities,SSE: 601066
Huadong Medicine,SZSE: 000963
Walvax Biotechnology,SZSE: 300142
Hithink RoyalFlush Information Network,SZSE: 300033
AVIC Aircraft,SZSE: 000768
Great Wall Motor,SSE: 601633
Beijing New Building Materials Public,SZSE: 000786
Huizhou Desay SV Automotive,SZSE: 002920
Tsingtao Brewery,SSE: 600600
China Energy Engineering Corporation,SSE: 601868
SATELLITE CHEMICAL,SZSE: 002648
Spring Airlines,SSE: 601021
BEIJING WANTAI BIOLOGICAL PHARMACY ENTERPRISE,SSE: 603392
Jiangsu Eastern Shenghong,SZSE: 000301
Zhejiang NHU,SZSE: 002001
HUAYU Automotive Systems Company,SSE: 600741
New China Life Insurance,SSE: 601336
Ningbo Tuopu Group,SSE: 601689
Trina Solar,SSE: 688599
Yunnan Energy New Material,SZSE: 002812
Hengli Petrochemical,SSE: 600346
Shanxi Coking Coal Energy Group,SZSE: 000983
China Galaxy Securities,SSE: 601881
Yonyou Network Technology,SSE: 600588
Hainan Airport Infrastructure,SSE: 600515
China National Chemical Engineering,SSE: 601117
BANK OF CHENGDU,SSE: 601838
National Silicon Industry Group,SSE: 688126
WUXI LEAD INTELLIGENT EQUIPMENT,SZSE: 300450
Guosen Securities,SZSE: 002736
Asymchem Laboratories (Tianjin),SZSE: 002821
Zhejiang Jingsheng Mechanical & Electrical,SZSE: 300316
Lens Technology,SZSE: 300433
CHINA JUSHI,SSE: 600176
Guangzhou Tinci Materials Technology,SZSE: 002709
Hangzhou Tigermed Consulting,SZSE: 300347
Metallurgical Corporation of China,SSE: 601618
China Merchants Energy Shipping,SSE: 601872
ZANGGE MINING COMPANY,SZSE: 000408
Ninestar Corporation,SZSE: 002180
SG Micro,SZSE: 300661
China Avionics Systems,SSE: 600372
China Coal Energy,SSE: 601898
China Resources Microelectronics,SSE: 688396
Thunder Software Technology,SZSE: 300496
China Zhenhua (Group) Science & Technology,SZSE: 000733
Zhejiang Chint Electrics,SSE: 601877
YTO Express Group,SSE: 600233
China Resources Sanjiu Medical & Pharmaceutical,SZSE: 000999
Shandong Nanshan Aluminium,SSE: 600219
Hualan Biological Engineering,SZSE: 002007
Zhejiang Zheneng Electric Power,SSE: 600023
GUOXUAN HIGH-TECH,SZSE: 002074
Xinjiang Goldwind Science & Technology,SZSE: 002202
Pharmaron Beijing,SZSE: 300759
Guangzhou Baiyunshan Pharmaceutical Holdings,SSE: 600332
HANGZHOU FIRST PV MATERIAL,SSE: 603806
Jiangxi Copper,SSE: 600362
New Hope Liuhe,SZSE: 000876
Shengyi Technology,SSE: 600183
Shanghai Pharmaceuticals Holding,SSE: 601607
Changzhou Xingyu Automotive Lighting Systems,SSE: 601799
Empyrean Technology,SZSE: 301269
Guangzhou Automobile Group,SSE: 601238
ZHESHANG SECURITIES,SSE: 601878
China Citic Bank,SSE: 601998
Zhongtai Securities,SSE: 600918
Yihai Kerry,SZSE: 300999
Ingenic Semiconductor,SZSE: 300223
Hoshine Silicon Industry,SSE: 603260
XinJiang Daqo New Energy,SSE: 688303
Mango Excellent Media,SZSE: 300413
MingYangSmartEnergyGroup,SSE: 601615
Glodon Software,SZSE: 002410
Dongfang Electric Corporation,SSE: 600875
Shijiazhuang Yiling Pharmaceutical,SZSE: 002603
SDIC Essence,SSE: 600061
Jinko Solar,SSE: 688223
Hangzhou Silan Microelectronics,SSE: 600460
ENN Ecological Holdings,SSE: 600803
Suzhou Maxwell Technologies,SZSE: 300751
HuanengLancang River Hydropower,SSE: 600025
People's Insurance Company of China,SSE: 601319
Guangzhou Shiyuan Electronic Technology Company,SZSE: 002841
Shanghai Aiko Solar Energy,SSE: 600732
Shanghai Putailai New Energy Technology,SSE: 603659
Sangfor Technologies,SZSE: 300454
CNGR Advanced Material,SZSE: 300919
Chongqing Brewery,SSE: 600132
CNPC Capital Company,SZSE: 000617
Ginlong Technologies,SZSE: 300763
Shenzhen Overseas Chinese Town Company,SZSE: 000069
Shanghai International Port Group,SSE: 600018
CITIC Pacific Special Steel Group,SZSE: 000708
Yealink Network Technology,SZSE: 300628
Avary Holding (Shenzhen) Co,SZSE: 002938
Shennan Circuits,SZSE: 002916
Ningbo Deye Technology,SSE: 605117
Sichuan Road&Bridge,SSE: 600039
Eastroc Beverage (Group),SSE: 605499
GONGNIU GROUP,SSE: 603195
Shanghai Jin Jiang International Hotels,SSE: 600754
SHANGHAI M&G STATIONERY,SSE: 603899
StarPower Semiconductor,SSE: 603290
Oppein Home Group,SSE: 603833
Flat Glass Group,SSE: 601865
Bloomage Biotechnology Corporation,SSE: 688363
Xinjiang Tianshan Cement,SZSE: 000877
Cathay Biotech,SSE: 688065
Yunnan Botanee Bio-Technology Group,SZSE: 300957
HONGTA SECURITIES,SSE: 601236
China Satellite Communications,SSE: 601698
Zhuzhou CRRC Times Electric,SSE: 688187
Qi An Xin Technology Group,SSE: 688561
Future Land Holdings,SSE: 601155
China Development Holdings,SSE: 600606
Huali Industrial Group Company,SZSE: 300979
China Oilfield Services,SSE: 601808
Ecovacs Robotics,SSE: 603486
FAW Car,SZSE: 000800
CINDA SECURITIES,SSE: 601059
China Longyuan Power Group Limited,SZSE: 001289
