Company Name,Company Ticker
Air France-KLM,AF.AS
Advanced Metallurgical Group [nl],AMG.AS
Aperam,APAM.AS
Arcadis,ARCAD.AS
Boskalis,BOKA.AS
Corbion,CRBN.AS
Eurocommercial Properties [nl],ECMPA.AS
Flow traders [nl],FLOW.AS
Fugro,FUR.AS
GrandVision [nl],GVNV.AS
Intertrust,INTER.AS
OCI,OCI.AS
PostNL,PNL.AS
SBM Offshore,SBMO.AS
TKH Group [nl],TWEKA.AS
WDP,WDP.AS
JDE PEET'S,JDEP.AS
Alfen,ALFEN.AS
Basic-Fit,BFIT.AS
Abn Amro,ABN.AS
Vopak,VPK.AS
Aalberts,AALB.AS
InPost,INPST.AS
Fagron,FAGR.AS
Galapagos,GLPG.AS
