Company Name,Company Ticker
Accor,Euronext Paris: AC.PA
Air France–KLM,Euronext Paris: AF.PA
Arkema,Euronext Paris: AKE.PA
BioMérieux,Euronext Paris: BIM.PA
Bureau Veritas,Euronext Paris: BVI.PA
Eiffage,Euronext Paris: FGR.PA
Euronext,Euronext Paris: ENX.PA
Faurecia,Euronext Paris: EO.PA
Gecina,Euronext Paris: GFC.PA
Getlink,Euronext Paris: GET.PA
Klépierre,Euronext Paris: LI.PA
Rémy Cointreau,Euronext Paris: RCO.PA
Rexel,Euronext Paris: RXL.PA
Sartorius Stedim Biooutsource,Euronext Paris: DIM.PA
Sodexo,Euronext Paris: SW.PA
Soitec,Euronext Paris: SOI.PA
Solvay,Euronext Brussels: SOLB.PA
Ubisoft,Euronext Paris: UBI.PA
Valeo,Euronext Paris: FR.PA
Vivendi,Euronext Paris: VIV.PA
