Company Name,Company Ticker
HSBC Holdings plc,0005.HK
Hang Seng Bank Ltd,0011.HK
HKEx Limited,0388.HK
China Construction Bank,0939.HK
AIA Group Limited,1299.HK
Industrial and Commercial Bank of China,1398.HK
Ping An Insurance,2318.HK
BOC Hong Kong (Holdings) Ltd,2388.HK
China Life,2628.HK
China Merchants Bank,3968.HK
Bank of China Ltd,3988.HK
CLP Holdings Limited,0002.HK
Hong Kong and China Gas Company Limited,0003.HK
Power Assets Holdings Limited,0006.HK
China Resources Power,0836.HK
Cheung Kong Infrastructure Holdings Limited,1038.HK
ENN Energy,2688.HK
Henderson Land Development Company Limited,0012.HK
Sun Hung Kai Properties Limited,0016.HK
New World Development Company Limited,0017.HK
Hang Lung Properties Limited,0101.HK
China Overseas Land & Investment Limited,0688.HK
Link REIT,0823.HK
Longfor Properties,0960.HK
China Resources Land Limited,1109.HK
CK Asset Holdings,1113.HK
China Resources Mixc Lifestyle,1209.HK
Wharf Real Estate Investment Company Limited,1997.HK
Country Garden,6098.HK
CK Hutchison Holdings Limited,0001.HK
Galaxy Entertainment Group Ltd.,0027.HK
MTR Corporation Ltd,0066.HK
Geely Auto,0175.HK
Alibaba Health,0241.HK
CITIC Limited,0267.HK
WH Group,0288.HK
China Resources Beer,0291.HK
Orient Overseas (International) Limited,0316.HK
Tingyi,0322.HK
Sinopec Corp,0386.HK
Techtronic Industries,0669.HK
Tencent Holdings Limited,0700.HK
China Unicom,0762.HK
PetroChina Company Limited,0857.HK
Xinyi Glass,0868.HK
Zhongsheng Group,0881.HK
CNOOC Limited,0883.HK
China Mobile Ltd,0941.HK
Xinyi Solar,0968.HK
Semiconductor Manufacturing International Corporation,0981.HK
Lenovo,0992.HK
Hengan International Group Co. Ltd,1044.HK
China Shenhua Energy,1088.HK
CSPC Pharmaceutical Group,1093.HK
Sinopharm Group,1099.HK
Sino Biopharm,1177.HK
BYD Company,1211.HK
China Hongqiao Group,1378.HK
Xiaomi,1810.HK
Budweiser Brewing Company APAC,1876.HK
Sands China,1928.HK
Chow Tai Fook,1929.HK
Li Auto,2015.HK
Anta Sports,2020.HK
WuXi Biologics,2269.HK
Shenzhou International,2313.HK
Mengniu Dairy,2319.HK
Li-Ning,2331.HK
WuXi AppTec,2359.HK
Sunny Optical,2382.HK
Zijin Mining,2899.HK
Meituan,3690.HK
Hansoh Pharmaceutical Group,3692.HK
JD Health,6618.HK
Haier,6690.HK
Haidilao,6862.HK
JD.com,9618.HK
Nongfu Spring,9633.HK
Baidu,9888.HK
Trip.com Group,9961.HK
Alibaba Group,9988.HK
NetEase,9999.HK
