Company Name,Company Ticker
A.P. Møller-Mærsk (class A),MAERSK A.CO
A.P. Møller-Mærsk (class B),MAERSK B.CO
Ambu,AMBU B.CO
Bavarian Nordic,BAVA.CO
Carlsberg Group (class B),CARL B.CO
Coloplast (class B),COLO B.CO
Danske Bank,DANSKE.CO
Demant,DEMANT.CO
DSV,DSV.CO
Genmab,GMAB.CO
GN Store Nord,GN.CO
ISS,ISS.CO
Jyske Bank,JYSK.CO
NKT,NKT.CO
Nordea Bank Abp,NDA.CO
Novo Nordisk,NOVO B.CO
Novonesis,NSIS B.CO
Pandora,PNDORA.CO
Rockwool International,ROCK B.CO
Royal Unibrew,RBREW.CO
Sydbank,SYDB.CO
Tryg,TRYG.CO
Vestas Wind Systems,VWS.CO
Zealand Pharma,ZEAL.CO
Ørsted,ORSTED.CO
