Company Name,Company Ticker
Advanced Info Service,ADVANC.BK
Airports of Thailand,AOT.BK
Asset World Corp,AWC.BK
Banpu,BANPU.BK
Bangkok Bank,BBL.BK
Bangchak Corporation,BCP.BK
Bangkok Dusit Medical Service,BDMS.BK
Bangkok Expressway and Metro,BEM.BK
Bumrungrad International Hospital,BH.BK
Berli Jucker,BJC.BK
BTS Group Holdings,BTS.BK
Carabao Group,CBG.BK
Cal-Comp Electronics (Thailand),CCET.BK
Com Seven,COM7.BK
CP All,CPALL.BK
Charoen Pokphand Foods,CPF.BK
Central Pattana,CPN.BK
Central Retail Corporation,CRC.BK
Delta Electronics (Thailand),DELTA.BK
Electricity Generating Authority,EGCO.BK
Global Power Synergy,GPSC.BK
Gulf Development,GULF.BK
Home Product Center,HMPRO.BK
Indorama Ventures,IVL.BK
Kasikornbank,KBANK.BK
KCE Electronics,KCE.BK
Kiatnakin Phatra Bank,KKP.BK
Krungthai Bank,KTB.BK
Krungthai Card,KTC.BK
Land and Houses,LH.BK
Minor International,MINT.BK
Muangthai Capital,MTC.BK
PTT Oil and Retail Business,OR.BK
Osotspa,OSP.BK
PTT,PTT.BK
PTT Exploration and Production,PTTEP.BK
PTT Global Chemical,PTTGC.BK
Ratch Group,RATCH.BK
Siam Commercial Bank,SCB.BK
Siam Cement Group,SCC.BK
SCG Packaging,SCGP.BK
Thanachart Capital,TCAP.BK
Tidlor Holdings,TIDLOR.BK
Tisco Financial Group,TISCO.BK
Thai Life Insurance,TLI.BK
Thai Oil,TOP.BK
TRUE Corporation,TRUE.BK
TMBThanachart Bank,TTB.BK
Thai Union Group,TU.BK
VGI,VGI.BK
WHA Corporation,WHA.BK
