Company Name,Company Ticker
CapitaLand Ascendas REIT,SGX: A17U.SI
CapitaLand Integrated Commercial Trust,SGX: C38U.SI
CapitaLand Investment,SGX: 9CI.SI
City Developments Limited,SGX: C09.SI
DFI Retail Group Holdings Limited,SGX: D01.SI
DBS Group Holdings,SGX: D05.SI
Frasers Centrepoint Trust,SGX: J69U.SI
Frasers Logistics & Commercial Trust,SGX: BUOU.SI
Genting Singapore PLC,SGX: G13.SI
Hongkong Land Holdings,SGX: H78.SI
Jardine Matheson Holdings Limited,SGX: J36.SI
Keppel Corporation,SGX: BN4.SI
Keppel DC Reit,SGX: AJBU.SI
Mapletree Industrial Trust,SGX: ME8U.SI
Mapletree Logistics Trust,SGX: M44U.SI
Mapletree Pan Asia Commercial Trust,SGX: N2IU.SI
Oversea-Chinese Banking Corp,SGX: O39.SI
SATS,SGX: S58.SI
Seatrium Limited,SGX: 5E2.SI
Sembcorp Industries,SGX: U96.SI
Singapore Airlines,SGX: C6L.SI
Singapore Exchange,SGX: S68.SI
Singtel,SGX: Z74.SI
Singapore Technologies Engineering,SGX: S63.SI
Thai Beverages,SGX: Y92.SI
United Overseas Bank,SGX: U11.SI
UOL Group,SGX: U14.SI
Venture Corporation,SGX: V03.SI
Wilmar International,SGX: F34.SI
Yangzijiang Shipbuilding Holdings [zh],SGX: BS6.SI
