Company Name,Company Ticker
A2A,A2A.MI
Amplifon,AMP.MI
Azimut,AZM.MI
Banca Mediolanum,BMED.MI
Banca Monte dei Paschi di Siena,BMPS.MI
Banco BPM,BAMI.MI
Banca Popolare di Sondrio,BPSO.MI
BPER Banca,BPE.MI
Brunello Cucinelli,BC.MI
Buzzi,BZU.MI
Campari,CPR.MI
Diasorin,DIA.MI
Enel,ENEL.MI
Eni,ENI.MI
Ferrari,RACE.MI
FinecoBank,FBK.MI
Generali,G.MI
Hera,HER.MI
Interpump Group,IP.MI
Intesa Sanpaolo,ISP.MI
INWIT,INW.MI
Italgas,IG.MI
Iveco Group,IVG.MI
Leonardo,LDO.MI
Mediobanca,MB.MI
Moncler,MONC.MI
Nexi,NEXI.MI
Pirelli,PIRC.MI
Poste italiane,PST.MI
Prysmian,PRY.MI
Recordati,REC.MI
Saipem,SPM.MI
Snam,SRG.MI
Stellantis,STLAM.MI
STMicroelectronics,STMMI.MI
Telecom Italia,TIT.MI
Tenaris,TEN.MI
Terna,TRN.MI
UniCredit,UCG.MI
Unipol,UNI.MI
