Company Name,Company Ticker
a2 Milk Company,A2M.AX
Adbri,ABC.AX
Abacus Property Group,ABP.AX
AGL Energy,AGL.AX
Auckland Airport,AIA.AX
Allkem,AKE.AX
Ampol,ALD.AX
Aristocrat Leisure,ALL.AX
ALS,ALQ.AX
Altium,ALU.AX
Atlas Arteria,ALX.AX
Amcor,AMC.AX
AMP,AMP.AX
Ansell,ANN.AX
Australia & New Zealand Banking Group,ANZ.AX
APA Group,APA.AX
Eagers Automotive,APE.AX
Block Inc. CDI,SQ2.AX
ARB Corporation,ARB.AX
Arena REIT,ARF.AX
ASX,ASX.AX
AUB Group,AUB.AX
Alumina,AWC.AX
Aurizon,AZJ.AX
AVZ Minerals,AVZ.AX
Bapcor,BAP.AX
Bendigo & Adelaide Bank,BEN.AX
Bega Cheese,BGA.AX
BHP,BHP.AX
Blackmores,BKL.AX
Brickworks,BKW.AX
Boral,BLD.AX
Bank of Queensland,BOQ.AX
Beach Energy,BPT.AX
Brainchip,BRN.AX
Breville Group,BRG.AX
BlueScope,BSL.AX
BWP Trust,BWP.AX
Brambles,BXB.AX
CAR Group,CAR.AX
Commonwealth Bank,CBA.AX
Credit Corp Group,CCP.AX
City Chic Collective,CCX.AX
Costa Group,CGC.AX
Challenger,CGF.AX
Charter Hall,CHC.AX
Chalice Mining,CHN.AX
Champion Iron,CIA.AX
Centuria Industrial REIT,CIP.AX
Collins Foods,CKF.AX
Charter Hall Long WALE REIT,CLW.AX
Cromwell Property Group,CMW.AX
Centuria Capital,CNI.AX
Chorus,CNU.AX
Cochlear,COH.AX
Coles Group,COL.AX
Computershare,CPU.AX
Coronado Global Resources,CRN.AX
Charter Hall Retail REIT,CQR.AX
CSL,CSL.AX
CSR,CSR.AX
Corporate Travel Management,CTD.AX
Clinuvel Pharmaceut,CUV.AX
Cleanaway,CWY.AX
Core Lithium,CXO.AX
De Grey Mining,DEG.AX
Domain Group,DHG.AX
Domino's Pizza Enterprises,DMP.AX
Downer Group,DOW.AX
Deterra Royalties,DRR.AX
Dexus,DXS.AX
Endeavour Group,EDV.AX
