Company Name,Company Ticker
Adani Ports & SEZ,ADANIPORTS.BO.BO
Asian Paints,ASIANPAINT.BO.BO
Axis Bank,AXISBANK.BO.BO
Bajaj Finance,BAJFINANCE.BO.BO
Bajaj Finserv,BAJAJFINSV.BO.BO
Bharat Electronics,BEL.BO.BO
Bharti Airtel,BHARTIARTL.BO.BO
Eternal,ETERNAL.BO.BO
HCLTech,HCLTECH.BO.BO
HDFC Bank,HDFCBANK.BO.BO
Hindustan Unilever,HINDUNILVR.BO.BO
ICICI Bank,ICICIBANK.BO.BO
Infosys,INFY.BO.BO
ITC,ITC.BO.BO
Kotak Mahindra Bank,KOTAKBANK.BO.BO
Larsen & Toubro,LT.BO.BO
Mahindra & Mahindra,M&M.BO.BO
Maruti Suzuki,MARUTI.BO.BO
NTPC,NTPC.BO.BO
Power Grid,POWERGRID.BO.BO
Reliance Industries,RELIANCE.BO.BO
State Bank of India,SBIN.BO.BO
Sun Pharma,SUNPHARMA.BO.BO
Tata Consultancy Services,TCS.BO.BO
Tata Motors,TATAMOTORS.BO.BO
Tata Steel,TATASTEEL.BO.BO
Tech Mahindra,TECHM.BO.BO
Titan Company,TITAN.BO.BO
Trent,TRENT.BO.BO
UltraTech Cement,ULTRACEMCO.BO.BO
