Company Name,Company Ticker
Alpargatas,ALPA4.SA
Ambev,ABEV3.SA
Americanas,AMER3.SA
Azul,AZUL4.SA
B3,B3SA3.SA
Banco do Brasil,BBAS3.SA
BB Seguridade,BBSE3.SA
Bradesco,BBDC3.SA
Bradesco,BBDC4.SA
Banco Inter,BIDI11.SA
Banco Pan,BPAN4.SA
Bradespar,BRAP4.SA
BRMalls,BRML3.SA
Braskem,BRKM5.SA
BRF,BRFS3.SA
BTG Pactual,BPAC11.SA
Carrefour Brasil,CRFB3.SA
CCR,CCRO3.SA
CVC Brasil,CVCB3.SA
CEMIG,CMIG4.SA
Cielo,CIEL3.SA
Cogna,COGN3.SA
Copel,CPLE6.SA
Cosan,CSAN3.SA
CPFL Energia,CPFE3.SA
CSN,CSNA3.SA
Cyrela Brazil Realty,CYRE3.SA
Dexco,DXCO3.SA
EcoRodovias,ECOR3.SA
EDP - Energias do Brasil,ENBR3.SA
Eletrobras,ELET3.SA
Eletrobras,ELET6.SA
Embraer,EMBR3.SA
Energisa,ENGI11.SA
Eneva,ENEV3.SA
ENGIE Brasil,EGIE3.SA
Equatorial Energia,EQTL3.SA
Eztec,EZTC3.SA
Gerdau,GGBR4.SA
Gol,GOLL4.SA
GPA,PCAR3.SA
Grupo Soma,SOMA3.SA
Grupo Fleury,FLRY3.SA
Grupo Hapvida,HAPV3.SA
Hypera Pharma,HYPE3.SA
Iguatemi,IGTI11.SA
IRB Brasil RE,IRBR3.SA
Itaú Unibanco,ITUB4.SA
Itaúsa,ITSA4.SA
JBS,JBSS3.SA
JHSF Participações,JHSF3.SA
Klabin,KLBN11.SA
Localiza,RENT3.SA
LocaWeb,LWSA3.SA
Lojas Renner,LREN3.SA
Magazine Luiza,MGLU3.SA
Marfrig,MRFG3.SA
Méliuz,CASH3.SA
Metalúrgica Gerdau,GOAU4.SA
Minerva Foods,BEEF3.SA
MRV,MRVE3.SA
Multiplan,MULT3.SA
Natura & Co,NTCO3.SA
Petrobras,PETR3.SA
Petrobras,PETR4.SA
Petrobras Distribuidora,VBBR3.SA
PetroRio,PRIO3.SA
Petz,PETZ3.SA
Qualicorp,QUAL3.SA
RaiaDrogasil,RADL3.SA
Rede D'Or São Luiz,RDOR3.SA
Rumo,RAIL3.SA
Sabesp,SBSP3.SA
Santander Brasil,SANB11.SA
Sendas Distribuidora,ASAI3.SA
SulAmérica Seguros,SULA11.SA
Suzano Papel e Celulose,SUZB3.SA
Taesa S.A,TAEE11.SA
Telefônica Brasil,VIVT3.SA
TIM Brasil,TIMS3.SA
TOTVS,TOTS3.SA
Ultrapar,UGPA3.SA
Unidas,LCAM3.SA
Usiminas,USIM5.SA
Vale,VALE3.SA
Via,VIIA3.SA
YDUQS,YDUQ3.SA
WEG,WEGE3.SA
