Company Name,Company Ticker
3M,NYSE: MMM
AbbVie,NYSE: ABBV
Allianz,FWB: ALV
Alphabet,Nasdaq: GOOG; Nasdaq: GOOGL
Amazon,Nasdaq: AMZN
Amgen,Nasdaq: AMGN
Anheuser-Busch InBev,Euronext: ABI
Apple,Nasdaq: AAPL
BHP,ASX: BHP
The Boeing Company,NYSE: BA
BP,LSE: BP
British American Tobacco,LSE: BATS
Chevron Corporation,NYSE: CVX
Cisco,Nasdaq: CSCO
Citigroup,NYSE: C
Coca-Cola,NYSE: KO
DuPont,NYSE: DD
ExxonMobil,NYSE: XOM
Meta,Nasdaq: FB
General Electric,NYSE: GE
GSK,LSE: GSK
HSBC,LSE: HSBA
Intel,Nasdaq: INTC
IBM,NYSE: IBM
Johnson & Johnson,NYSE: JNJ
JPMorgan Chase,NYSE: JPM
Mastercard,NYSE: MA
McDonald's,NYSE: MCD
Merck & Co,NYSE: MRK
Microsoft,Nasdaq: MSFT
Nestlé,SIX: NESN
Novartis,NYSE: NOVN
Nvidia,Nasdaq: NVDA
Oracle Corporation,NYSE: ORCL
PepsiCo,Nasdaq: PEP
Pfizer,NYSE: PFE
Philip Morris International,NYSE: PM
Procter & Gamble,NYSE: PG
Roche,SIX: ROG
Royal Bank of Canada,TSX: RY
Samsung Electronics,LSE: SMSN
Sanofi,Euronext: SAN
Shell,Euronext: RDSA
Siemens,FWB: SIE
TotalEnergies,Euronext: TOT
Toyota,TYO: 7203
TSMC,NYSE: TSM
Visa,NYSE: V
Walmart,NYSE: WMT
The Walt Disney Company,NYSE: DIS
