Company Name,Company Ticker
Advantage Energy Ltd,AAV
Agnico Eagle Mines Limited,AEM
Air Canada,AC
Alamos Gold Inc,AGI
Algoma Steel Group Inc,ASTL
Algonquin Power & Utilities Corp,AQN
Alimentation Couche-Tard Inc,ATD
Allied Properties Real Estate Investment Trust,AP.UN
AltaGas Ltd,ALA
Altus Group Limited,AIF
ARC Resources Ltd,ARX
Aritzia Inc,ATZ
ATCO Ltd,ACO.X
Athabasca Oil Corporation,ATH
AtkinsRéalis Group Inc,ATRL
ATS Corporation,ATS
Aya Gold & Silver Inc,AYA
B2Gold Corp,BTO
Badger Infrastructure Solutions Ltd,BDGI
Bank of Montreal,BMO
Bank of Nova Scotia,BNS
Barrick Gold Corporation,ABX
Bausch Health Companies Inc,BHC
Baytex Energy Corp,BTE
BCE Inc,BCE
Birchcliff Energy Ltd,BIR
Bird Construction Inc,BDT
BlackBerry Limited,BB
Boardwalk Real Estate Investment Trust,BEI.UN
Bombardier Inc,BBD.B
Boralex Inc,BLX
Boyd Group Services Inc,BYD
Brookfield Asset Management Ltd,BAM
Brookfield Business Partners L.P,BBU.UN
Brookfield Corporation,BN
Brookfield Infrastructure Partners L.P,BIP.UN
Brookfield Renewable Partners L.P,BEP.UN
BRP Inc,DOO
CAE Inc,CAE
Calibre Mining Corp,CXB
Cameco Corporation,CCO
Canadian Apartment Properties Real Estate Investment Trust,CAR.UN
Canadian Imperial Bank of Commerce,CM
Canadian National Railway Company,CNR
Canadian Natural Resources Limited,CNQ
Canadian Pacific Kansas City Limited,CP
Canadian Tire Corporation Limited,CTC.A
Canadian Utilities Limited,CU
Canadian Western Bank,CWB
Capital Power Corporation,CPX
Capstone Copper Corp,CS
Cargojet Inc,CJT
CCL Industries Inc,CCL.B
Celestica Inc,CLS
Cenovus Energy Inc,CVE
Centerra Gold Inc,CG
CES Energy Solutions Corp,CEU
CGI Inc,GIB.A
Chartwell Retirement Residences,CSH.UN
Choice Properties Real Estate Investment Trust,CHP.UN
CI Financial Corp,CIX
Cogeco Communications Inc,CCA
Colliers International Group Inc,CIGI
Constellation Software Inc,CSU
Crombie Real Estate Investment Trust,CRR.UN
CT Real Estate Investment Trust,CRT.UN
Definity Financial Corporation,DFY
Denison Mines Corp,DML
Descartes Systems Group Inc,DSG
Dollarama Inc,DOL
Dream Industrial Real Estate Investment Trust,DIR.UN
Dundee Precious Metals Inc,DPM
Eldorado Gold Corporation,ELD
Element Fleet Management Corp,EFN
Emera Incorporated,EMA
Empire Company Limited,EMP.A
Enbridge Inc,ENB
Energy Fuels Inc,EFR
Enghouse Systems Limited,ENGH
EQB Inc,EQB
Equinox Gold Corp,EQX
Ero Copper Corp,ERO
Exchange Income Corporation,EIF
Fairfax Financial Holdings Limited,FFH
Filo Corp,FIL
Finning International Inc,FTT
First Capital Real Estate Investment Trust,FCR.UN
First Majestic Silver Corp,AG
First Quantum Minerals Ltd,FM
FirstService Corporation,FSV
Fortis Inc,FTS
Fortuna Mining Corp,FVI
Franco-Nevada Corporation,FNV
Freehold Royalties Ltd,FRU
George Weston Limited,WN
GFL Environmental Inc,GFL
Gibson Energy Inc,GEI
Gildan Activewear Inc,GIL
goeasy Ltd,GSY
Granite Real Estate Investment Trust,GRT.UN
Great-West Lifeco Inc,GWO
H&R Real Estate Investment Trust,HR.UN
Headwater Exploration Inc,HWX
Hudbay Minerals Inc,HBM
Hydro One Limited,H
iA Financial Corporation Inc,IAG
Iamgold Corporation,IMG
IGM Financial Inc,IGM
Imperial Oil Limited,IMO
Innergex Renewable Energy Inc,INE
Intact Financial Corporation,IFC
Interfor Corporation,IFP
International Petroleum Corporation,IPCO
InterRent Real Estate Investment Trust,IIP.UN
Ivanhoe Mines Ltd,IVN
Jamieson Wellness Inc,JWEL
K92 Mining Inc,KNT
Kelt Exploration Ltd,KEL
Keyera Corp,KEY
Killam Apartment Real Estate Investment Trust,KMP.UN
Kinaxis Inc,KXS
Kinross Gold Corporation,K
Labrador Iron Ore Royalty Corporation,LIF
Laurentian Bank of Canada,LB
Lightspeed Commerce Inc,LSPD
Linamar Corporation,LNR
Loblaw Companies Limited,L
Lundin Gold Inc,LUG
Lundin Mining Corporation,LUN
MAG Silver Corp,MAG
Magna International Inc,MG
Manulife Financial Corporation,MFC
Maple Leaf Foods Inc,MFI
Mattr Corp,MATR
MDA Space Ltd,MDA
MEG Energy Corp,MEG
Methanex Corporation,MX
Metro Inc,MRU
MTY Food Group Inc,MTY
Mullen Group Ltd,MTL
National Bank of Canada,
New Gold Inc,NGD
NexGen Energy Ltd,NXE
NFI Group Inc,NFI
North West Company Inc,NWC
Northland Power Inc,NPI
NorthWest Healthcare Properties Real Estate Investment Trust,NWH.UN
NovaGold Resources Inc,NG
Nutrien Ltd,NTR
Nuvei Corporation,NVEI
NuVista Energy Ltd,NVA
OceanaGold Corporation,OGC
Onex Corporation,ONEX
Open Text Corporation,OTEX
Orla Mining Ltd,OLA
Osisko Gold Royalties Ltd,OR
Osisko Mining Inc,OSK
