Company Name,Company Ticker
Adani Enterprises,ADANIENT.NS
Adani Ports & SEZ,ADANIPORTS.NS
Apollo Hospitals,APOLLOHOSP.NS
Asian Paints,ASIANPAINT.NS
Axis Bank,AXISBANK.NS
Bajaj Auto,BAJAJ-AUTO.NS
Bajaj Finance,BAJFINANCE.NS
Bajaj Finserv,BAJAJFINSV.NS
Bharat Electronics,BEL.NS
Bharti Airtel,BHARTIARTL.NS
Cipla,CIPLA.NS
Coal India,COALINDIA.NS
Dr. Reddy's Laboratories,DRREDDY.NS
Eicher Motors,EICHERMOT.NS
Eternal,ETERNAL.NS
Grasim Industries,GRASIM.NS
HCLTech,HCLTECH.NS
HDFC Bank,HDFCBANK.NS
HDFC Life,HDFCLIFE.NS
Hindalco Industries,HINDALCO.NS
Hindustan Unilever,HINDUNILVR.NS
ICICI Bank,ICICIBANK.NS
IndiGo,INDIGO.NS
Infosys,INFY.NS
ITC,ITC.NS
Jio Financial Services,JIOFIN.NS
JSW Steel,JSWSTEEL.NS
Kotak Mahindra Bank,KOTAKBANK.NS
Larsen & Toubro,LT.NS
Mahindra & Mahindra,M&M.NS
Maruti Suzuki,MARUTI.NS
Max Healthcare,MAXHEALTH.NS
Nestlé India,NESTLEIND.NS
NTPC,NTPC.NS
Oil and Natural Gas Corporation,ONGC.NS
Power Grid,POWERGRID.NS
Reliance Industries,RELIANCE.NS
SBI Life Insurance Company,SBILIFE.NS
Shriram Finance,SHRIRAMFIN.NS
State Bank of India,SBIN.NS
Sun Pharma,SUNPHARMA.NS
Tata Consultancy Services,TCS.NS
Tata Consumer Products,TATACONSUM.NS
Tata Motors,TATAMOTORS.NS
Tata Steel,TATASTEEL.NS
Tech Mahindra,TECHM.NS
Titan Company,TITAN.NS
Trent,TRENT.NS
UltraTech Cement,ULTRACEMCO.NS
Wipro,WIPRO.NS
