Company Name,Company Ticker
Auckland International Airport Limited,AIA.NZ
Air New Zealand Limited,AIR.NZ
ANZ Group Holdings Limited,ANZ.NZ
Argosy Property Limited,ARG.NZ
Arvida Group Limited,ARV.NZ
The a2 Milk Company Limited,ATM.NZ
Contact Energy Limited,CEN.NZ
Channel Infrastructure NZ Limited,CHI.NZ
Chorus Limited,CNU.NZ
EBOS Group Limited,EBO.NZ
Fletcher Building Limited,FBU.NZ
Fisher & Paykel Healthcare Corporation Limited,FPH.NZ
Freightways Group Limited,FRW.NZ
Fonterra Shareholders' Fund,FSF.NZ
Goodman Property Trust,GMT.NZ
Genesis Energy Limited,GNE.NZ
Gentrack Group Limited,GTK.NZ
Heartland Group Holdings Limited,HGH.NZ
Hallenstein Glasson Holdings Limited,HLG.NZ
Infratil Limited,IFT.NZ
Investore Property Limited,IPL.NZ
KMD Brands Limited,KMD.NZ
Kiwi Property Group Limited,KPG.NZ
Mercury NZ Limited,MCY.NZ
Meridian Energy Limited,MEL.NZ
Mainfreight Limited,MFT.NZ
Manawa Energy Limited,MNW.NZ
NZX Limited,NZX.NZ
Oceania Healthcare Limited,OCA.NZ
Precinct Properties NZ & Precinct Properties Investments Ltd,PCT.NZ
Property for Industry Limited,PFI.NZ
Port of Tauranga Limited,POT.NZ
Ryman Healthcare Limited,RYM.NZ
Sanford Limited,SAN.NZ
Scales Corporation Limited,SCL.NZ
SkyCity Entertainment Group Limited,SKC.NZ
Skellerup Holdings Limited,SKL.NZ
Serko Limited,SKO.NZ
Sky Network Television Limited,SKT.NZ
Stride Property Ltd & Stride Investment Management Ltd,SPG.NZ
Spark New Zealand Limited,SPK.NZ
Summerset Group Holdings Limited,SUM.NZ
Tourism Holdings Limited,THL.NZ
Turners Automotive Group Limited,TRA.NZ
Vector Limited,VCT.NZ
Vista Group International Limited,VGL.NZ
Vital Healthcare Property Trust,VHP.NZ
Vulcan Steel Limited,VSL.NZ
Westpac Banking Corporation,WBC.NZ
The Warehouse Group Limited,WHS.NZ
