Company Name,Company Ticker
ABB Ltd,ABB.ST
Addtech,ADDT B.ST
Alfa Laval,ALFA.ST
Assa Abloy,ASSA B.ST
AstraZeneca,AZN.ST
Atlas Copco,ATCO A.ST
Boliden,BOL.ST
Epiroc,EPI A.ST
EQT,EQT.ST
Ericsson,ERIC B.ST
Essity,ESSITY B.ST
Evolution,EVO.ST
Handelsbanken,SHB A.ST
Hennes & Mauritz,HM B.ST
Hexagon,HEXA B.ST
Industrivärden,INDU C.ST
Investor,INVE B.ST
Lifco,LIFCO B.ST
Nibe Industrier,NIBE B.ST
Nordea Bank Abp,NDA SE.ST
Saab,SAAB B.ST
Sandvik,SAND.ST
SCA,SCA B.ST
SEB,SEB A.ST
Skanska,SKA B.ST
SKF,SKF B.ST
Swedbank,SWED A.ST
Tele2,TEL2 B.ST
Telia Company,TELIA.ST
Volvo,VOLV B.ST
