Company Ticker,Sector,Industry,MarketCap,Currency
0001.HK,Industrials,Conglomerates,198396297216,HKD
0002.HK,Utilities,Utilities - Regulated Electric,168514256896,HKD
0003.HK,Utilities,Utilities - Regulated Gas,135657259008,HKD
0005.HK,Financial Services,Banks - Diversified,1863953154048,HKD
0006.HK,Utilities,Utilities - Independent Power Producers,106661814272,HKD
0011.HK,Financial Services,Banks - Regional,284124610560,HKD
0012.HK,Real Estate,Real Estate - Diversified,134784212992,HKD
0016.HK,Real Estate,Real Estate - Development,284706897920,HKD
0017.HK,Real Estate,Real Estate - Diversified,17968523264,HKD
0027.HK,Consumer Cyclical,Resorts & Casinos,168258437120,HKD
0066.HK,Industrials,Railroads,179737395200,HKD
0101.HK,Real Estate,Real Estate Services,43032064000,HKD
0175.HK,Consumer Cyclical,Auto Manufacturers,177686020096,HKD
0241.HK,Healthcare,Pharmaceutical Retailers,92212035584,HKD
0267.HK,Industrials,Conglomerates,361010167808,HKD
0288.HK,Consumer Defensive,Packaged Foods,99562504192,HKD
0291.HK,Consumer Defensive,Beverages - Brewers,84084482048,HKD
0316.HK,Industrials,Marine Shipping,88556068864,HKD
0322.HK,Consumer Defensive,Packaged Foods,64087191552,HKD
0386.HK,Energy,Oil & Gas Integrated,695127375872,HKD
0388.HK,Financial Services,Financial Data & Stock Exchanges,537918963712,HKD
0669.HK,Industrials,Tools & Accessories,162121318400,HKD
0688.HK,Real Estate,Real Estate - Development,142064582656,HKD
0700.HK,Communication Services,Internet Content & Information,5698343141376,HKD
0762.HK,Communication Services,Telecom Services,290986983424,HKD
0823.HK,Real Estate,REIT - Retail,106184835072,HKD
0836.HK,Utilities,Utilities - Independent Power Producers,98157010944,HKD
0857.HK,Energy,Oil & Gas Integrated,1873952112640,HKD
0868.HK,Basic Materials,Building Materials,40657559552,HKD
0881.HK,Consumer Cyclical,Auto & Truck Dealerships,28285577216,HKD
0883.HK,Energy,Oil & Gas E&P,1001117581312,HKD
0939.HK,Financial Services,Banks - Diversified,2154359816192,HKD
0941.HK,Communication Services,Telecom Services,1901148241920,HKD
0960.HK,Real Estate,Real Estate - Development,65039765504,HKD
0968.HK,Technology,Solar,32380534784,HKD
0981.HK,Technology,Semiconductors,689961893888,HKD
0992.HK,Technology,Computer Hardware,140668829696,HKD
1023.KL,Financial Services,Banks - Regional,81324720128,MYR
1038.HK,Utilities,Utilities - Regulated Electric,128500154368,HKD
1044.HK,Consumer Defensive,Household & Personal Products,31489345536,HKD
1066.KL,Financial Services,Banks - Regional,30184443904,MYR
1082.KL,Financial Services,Banks - Regional,19531925504,MYR
1088.HK,Energy,Thermal Coal,917716271104,HKD
1093.HK,Healthcare,Drug Manufacturers - General,83955015680,HKD
1099.HK,Healthcare,Medical Distribution,60571934720,HKD
1109.HK,Real Estate,Real Estate - Development,199951548416,HKD
1113.HK,Real Estate,Real Estate - Development,138241245184,HKD
1155.KL,Financial Services,Banks - Regional,120205017088,MYR
1177.HK,Healthcare,Biotechnology,124663480320,HKD
1209.HK,Real Estate,Real Estate Services,90295705600,HKD
1211.HK,Consumer Cyclical,Auto Manufacturers,936609775616,HKD
1295.KL,Financial Services,Banks - Regional,82689556480,MYR
1299.HK,Financial Services,Insurance - Life,833591836672,HKD
1378.HK,Basic Materials,Aluminum,282675511296,HKD
1398.HK,Financial Services,Banks - Diversified,2893392904192,HKD
1810.HK,Technology,Consumer Electronics,1130742546432,HKD
1876.HK,Consumer Defensive,Beverages - Brewers,102570385408,HKD
1928.HK,Consumer Cyclical,Resorts & Casinos,159844253696,HKD
1929.HK,Consumer Cyclical,Luxury Goods,133965946880,HKD
1961.KL,Consumer Defensive,Packaged Foods,25062936576,MYR
1997.HK,Real Estate,Real Estate Services,68983078912,HKD
2015.HK,Consumer Cyclical,Auto Manufacturers,157565714432,HKD
2020.HK,Consumer Cyclical,Leisure,220531769344,HKD
2269.HK,Healthcare,Biotechnology,141377142784,HKD
2313.HK,Consumer Cyclical,Textile Manufacturing,99362996224,HKD
2318.HK,Financial Services,Insurance - Life,1104658563072,HKD
2319.HK,Consumer Defensive,Packaged Foods,54689755136,HKD
2331.HK,Consumer Cyclical,Leisure,42848354304,HKD
2359.HK,Healthcare,Diagnostics & Research,302696300544,HKD
2382.HK,Technology,Electronic Components,76938543104,HKD
2388.HK,Financial Services,Banks - Regional,408109318144,HKD
2445.KL,Industrials,Conglomerates,23386847232,MYR
2628.HK,Financial Services,Insurance - Life,1167987310592,HKD
2688.HK,Utilities,Utilities - Regulated Gas,74566057984,HKD
2899.HK,Basic Materials,Gold,817993154560,HKD
3690.HK,Consumer Cyclical,Internet Retail,610076065792,HKD
3692.HK,Healthcare,Drug Manufacturers - Specialty & Generic,212151681024,HKD
3816.KL,Industrials,Marine Shipping,34147653632,MYR
3968.HK,Financial Services,Banks - Regional,1197217415168,HKD
3988.HK,Financial Services,Banks - Diversified,1860820795392,HKD
4065.KL,Consumer Defensive,Farm Products,16359887872,MYR
4197.KL,Consumer Cyclical,Auto Manufacturers,13971975168,MYR
4677.KL,Utilities,Utilities - Diversified,29311318016,MYR
4707.KL,Consumer Defensive,Packaged Foods,26498500608,MYR
4863.KL,Communication Services,Telecom Services,28015491072,MYR
5183.KL,Basic Materials,Chemicals,30319998976,MYR
5211.KL,Industrials,Conglomerates,33928210432,MYR
5225.KL,Healthcare,Medical Care Facilities,73163350016,MYR
5285.KL,Consumer Defensive,Packaged Foods,36653289472,MYR
5296.KL,Consumer Cyclical,Home Improvement Retail,15637835776,MYR
5326.KL,Consumer Cyclical,Department Stores,26123999232,MYR
5347.KL,Utilities,Utilities - Regulated Electric,77527588864,MYR
5398.KL,Industrials,Engineering & Construction,29579788288,MYR
5681.KL,Energy,Oil & Gas Refining & Marketing,22452060160,MYR
5819.KL,Financial Services,Banks - Regional,43545382912,MYR
5E2.SI,Energy,Oil & Gas Equipment & Services,7348779008,SGD
6012.KL,Communication Services,Telecom Services,30556831744,MYR
6033.KL,Energy,Oil & Gas Integrated,36883562496,MYR
6098.HK,Real Estate,Real Estate Services,20535670784,HKD
6618.HK,Healthcare,Pharmaceutical Retailers,194649686016,HKD
6690.HK,Consumer Cyclical,"Furnishings, Fixtures & Appliances",262389760000,HKD
6742.KL,Utilities,Utilities - Diversified,33637134336,MYR
6862.HK,Consumer Cyclical,Restaurants,68770496512,HKD
6888.KL,Communication Services,Telecom Services,23516807168,MYR
6947.KL,Communication Services,Telecom Services,42937319424,MYR
